date,strong_positive_stocks,strong_negative_stocks,everything_else_stocks,total_stocks,pct_strong_positive,pct_strong_negative,pct_everything_else,dominant_regime
2020-03-24,1,18,17,36,0.027777777777777776,0.5,0.4722222222222222,Strong Negative
2020-04-02,1,15,20,36,0.027777777777777776,0.4166666666666667,0.5555555555555556,Strong Negative
2020-04-03,1,15,20,36,0.027777777777777776,0.4166666666666667,0.5555555555555556,Strong Negative
2020-03-23,1,15,20,36,0.027777777777777776,0.4166666666666667,0.5555555555555556,Strong Negative
2020-03-19,1,15,20,36,0.027777777777777776,0.4166666666666667,0.5555555555555556,Strong Negative
2021-03-12,0,21,16,37,0.0,0.5675675675675675,0.43243243243243246,Strong Negative
2026-04-10,0,19,19,38,0.0,0.5,0.5,Strong Negative
2021-03-09,0,18,19,37,0.0,0.4864864864864865,0.5135135135135135,Strong Negative
2026-04-09,0,16,22,38,0.0,0.42105263157894735,0.5789473684210527,Strong Negative
2021-03-10,0,15,22,37,0.0,0.40540540540540543,0.5945945945945946,Strong Negative
2020-03-09,23,0,13,36,0.6388888888888888,0.0,0.3611111111111111,Strong Positive
2025-04-08,21,0,17,38,0.5526315789473685,0.0,0.4473684210526316,Strong Positive
2025-04-04,20,1,17,38,0.5263157894736842,0.02631578947368421,0.4473684210526316,Strong Positive
2025-04-07,20,1,17,38,0.5263157894736842,0.02631578947368421,0.4473684210526316,Strong Positive
2025-04-09,14,0,24,38,0.3684210526315789,0.0,0.631578947368421,Strong Positive
2015-12-17,13,0,22,35,0.37142857142857144,0.0,0.6285714285714286,Strong Positive
2015-12-14,13,0,22,35,0.37142857142857144,0.0,0.6285714285714286,Strong Positive
2015-12-16,13,0,22,35,0.37142857142857144,0.0,0.6285714285714286,Strong Positive
2015-12-15,13,0,22,35,0.37142857142857144,0.0,0.6285714285714286,Strong Positive
2015-12-23,13,0,22,35,0.37142857142857144,0.0,0.6285714285714286,Strong Positive
