ticker,cluster
BP,1
E,1
EQNR,1
SHEL,1
TS,1
TTE,1
WDS,1
CNQ,2
COP,2
CVE,2
CVX,2
DVN,2
EOG,2
FANG,2
IMO,2
OXY,2
SU,2
XOM,2
TPL,3
ENB,4
KMI,4
LNG,4
OKE,4
PBA,4
TRGP,4
TRP,4
WMB,4
MPC,5
PSX,5
VLO,5
BKR,6
FTI,6
HAL,6
SLB,6
EQT,7
EXE,7
PBR,8
CCJ,9
