basket_type,n_stocks,stocks,ticker,weight
Thomas-style,3,ENB|EOG|MPC,ENB,0.3103412823604874
Thomas-style,3,ENB|EOG|MPC,EOG,0.43250937375315507
Thomas-style,3,ENB|EOG|MPC,MPC,0.2571493438863575
Thomas-style,3,EOG|MPC|TRP,EOG,0.4571062171048749
Thomas-style,3,EOG|MPC|TRP,MPC,0.282252391977962
Thomas-style,3,EOG|MPC|TRP,TRP,0.26064139091716315
Thomas-style,3,EOG|MPC|PBA,EOG,0.41342303815947967
Thomas-style,3,EOG|MPC|PBA,MPC,0.2496412451563177
Thomas-style,3,EOG|MPC|PBA,PBA,0.3369357166842025
Thomas-style,3,EOG|MPC|WMB,EOG,0.426636811175295
Thomas-style,3,EOG|MPC|WMB,MPC,0.2801600707156781
Thomas-style,3,EOG|MPC|WMB,WMB,0.2932031181090269
Thomas-style,3,CNQ|EOG|PSX,CNQ,0.30963212485598113
Thomas-style,3,CNQ|EOG|PSX,EOG,0.36810101989771116
Thomas-style,3,CNQ|EOG|PSX,PSX,0.3222668552463077
Thomas-style,3,CVE|EOG|PSX,CVE,0.16171050805582632
Thomas-style,3,CVE|EOG|PSX,EOG,0.4681554476296963
Thomas-style,3,CVE|EOG|PSX,PSX,0.37013404431447755
Thomas-style,3,EOG|PSX|SU,EOG,0.37241447581323733
Thomas-style,3,EOG|PSX|SU,PSX,0.30434613557813306
Thomas-style,3,EOG|PSX|SU,SU,0.32323938860862955
Thomas-style,3,EOG|IMO|PSX,EOG,0.3922513199760626
Thomas-style,3,EOG|IMO|PSX,IMO,0.29740318132103644
Thomas-style,3,EOG|IMO|PSX,PSX,0.31034549870290096
Thomas-style,3,ENB|EOG|PSX,ENB,0.31794763255542147
Thomas-style,3,ENB|EOG|PSX,EOG,0.41568412854713604
Thomas-style,3,ENB|EOG|PSX,PSX,0.26636823889744254
Thomas-style,3,EOG|PSX|TRP,EOG,0.44061198643878124
Thomas-style,3,EOG|PSX|TRP,PSX,0.29037949352271025
Thomas-style,3,EOG|PSX|TRP,TRP,0.26900852003850856
Thomas-style,3,EOG|PBA|PSX,EOG,0.3916979234256393
Thomas-style,3,EOG|PBA|PSX,PBA,0.3461008942996165
Thomas-style,3,EOG|PBA|PSX,PSX,0.2622011822747442
Thomas-style,3,EOG|PSX|WMB,EOG,0.40094861729410075
Thomas-style,3,EOG|PSX|WMB,PSX,0.2920937764109506
Thomas-style,3,EOG|PSX|WMB,WMB,0.30695760629494867
Thomas-style,3,CNQ|EOG|VLO,CNQ,0.3488277304636073
Thomas-style,3,CNQ|EOG|VLO,EOG,0.37875622307396306
Thomas-style,3,CNQ|EOG|VLO,VLO,0.2724160464624296
Thomas-style,3,CVE|EOG|VLO,CVE,0.18100665546015252
Thomas-style,3,CVE|EOG|VLO,EOG,0.5152448978256566
Thomas-style,3,CVE|EOG|VLO,VLO,0.30374844671419093
Thomas-style,3,EOG|SU|VLO,EOG,0.40287701641131635
Thomas-style,3,EOG|SU|VLO,SU,0.3496218045218411
Thomas-style,3,EOG|SU|VLO,VLO,0.24750117906684266
Thomas-style,3,EOG|IMO|VLO,EOG,0.4314818309312182
Thomas-style,3,EOG|IMO|VLO,IMO,0.3186326860962929
Thomas-style,3,EOG|IMO|VLO,VLO,0.2498854829724889
Thomas-style,3,ENB|EOG|VLO,ENB,0.3429863379455981
Thomas-style,3,ENB|EOG|VLO,EOG,0.42456337366474195
Thomas-style,3,ENB|EOG|VLO,VLO,0.23245028838965992
Thomas-style,3,EOG|TRP|VLO,EOG,0.45577172209137434
Thomas-style,3,EOG|TRP|VLO,TRP,0.2941821733087178
Thomas-style,3,EOG|TRP|VLO,VLO,0.2500461045999079
Thomas-style,3,EOG|PBA|VLO,EOG,0.41012647480095926
Thomas-style,3,EOG|PBA|VLO,PBA,0.36926053266185954
Thomas-style,3,EOG|PBA|VLO,VLO,0.22061299253718122
Thomas-style,3,EOG|VLO|WMB,EOG,0.41374136607169676
Thomas-style,3,EOG|VLO|WMB,VLO,0.2500346664454995
Thomas-style,3,EOG|VLO|WMB,WMB,0.3362239674828038
Thomas-style,3,CNQ|FANG|MPC,CNQ,0.4407392608823551
Thomas-style,3,CNQ|FANG|MPC,FANG,0.18054037496739925
Thomas-style,3,CNQ|FANG|MPC,MPC,0.37872036415024574
Thomas-style,3,CVE|FANG|MPC,CVE,0.25561287146471134
Thomas-style,3,CVE|FANG|MPC,FANG,0.2652220550235744
Thomas-style,3,CVE|FANG|MPC,MPC,0.4791650735117142
Thomas-style,3,FANG|MPC|SU,FANG,0.20322690741249488
Thomas-style,3,FANG|MPC|SU,MPC,0.35506003991987856
Thomas-style,3,FANG|MPC|SU,SU,0.4417130526676266
Thomas-style,3,FANG|IMO|MPC,FANG,0.25205116393669663
Thomas-style,3,FANG|IMO|MPC,IMO,0.40132756413636117
Thomas-style,3,FANG|IMO|MPC,MPC,0.34662127192694225
Thomas-style,3,ENB|FANG|MPC,ENB,0.40735584803984204
Thomas-style,3,ENB|FANG|MPC,FANG,0.3235477413715905
Thomas-style,3,ENB|FANG|MPC,MPC,0.26909641058856754
Thomas-style,3,FANG|MPC|TRP,FANG,0.3322756308621839
Thomas-style,3,FANG|MPC|TRP,MPC,0.32325115991811465
Thomas-style,3,FANG|MPC|TRP,TRP,0.3444732092197014
Thomas-style,3,FANG|MPC|PBA,FANG,0.29396625634115825
Thomas-style,3,FANG|MPC|PBA,MPC,0.26888679668727145
Thomas-style,3,FANG|MPC|PBA,PBA,0.4371469469715703
Thomas-style,3,FANG|MPC|WMB,FANG,0.29274734182645185
Thomas-style,3,FANG|MPC|WMB,MPC,0.3085954711923638
Thomas-style,3,FANG|MPC|WMB,WMB,0.3986571869811844
Thomas-style,3,CNQ|FANG|PSX,CNQ,0.43482487262062863
Thomas-style,3,CNQ|FANG|PSX,FANG,0.17605659526869213
Thomas-style,3,CNQ|FANG|PSX,PSX,0.3891185321106792
Thomas-style,3,CVE|FANG|PSX,CVE,0.24955466698322387
Thomas-style,3,CVE|FANG|PSX,FANG,0.26107559456607704
Thomas-style,3,CVE|FANG|PSX,PSX,0.48936973845069914
Thomas-style,3,FANG|PSX|SU,FANG,0.19657879095345526
Thomas-style,3,FANG|PSX|SU,PSX,0.36683090274900937
Thomas-style,3,FANG|PSX|SU,SU,0.43659030629753537
Thomas-style,3,FANG|IMO|PSX,FANG,0.2344586504970623
