target,method,stocks,test_correlation,test_r_squared,test_tracking_error,target_volatility,basket_volatility,volatility_reduction
XOM,Correlation/Lasso,SU|EOG|VLO|EQNR,0.7849132817143186,0.5434441043713465,0.010581809602516567,0.24891549641880834,0.2619420978295803,-0.05233342880691638
CVX,Correlation/Lasso,EOG|SLB|VLO|E,0.7837704531992008,0.5700677434514765,0.0094335744955736,0.2290430498248491,0.2263334545054554,0.011830070030353523
XOM,PCA,EOG|SU|KMI|MPC,0.7875187861803481,0.5994137162184442,0.00992427743618685,0.24891549641880834,0.23189938499419482,0.0683609966813129
CVX,PCA,EOG|SU|KMI|PSX,0.8243597497659633,0.6592178701101956,0.008420695356733201,0.2290430498248491,0.22135312588023193,0.03357414228677846
