breadth_regime,days,mean_significant_stocks,max_significant_stocks,mean_pct_stocks_significant,pct_of_dates
Isolated,5403,1.0927262631871182,2,0.06390590542330372,0.459595100374277
Small Common,4120,3.953640776699029,5,0.18760936722536153,0.35045933991153455
Broad,1925,6.932467532467532,10,0.3043850983555513,0.1637461721674039
Market-Wide,308,13.13961038961039,23,0.36802396918938274,0.026199387546784622
