target,n_stocks,train_correlation,train_r_squared,train_rmse,train_tracking_error,test_correlation,test_r_squared,test_rmse,test_mae,test_tracking_error,test_actual_volatility,test_replicated_volatility,test_volatility_difference
XOM,1,0.8614984106637651,0.7356150786593021,0.00888305621895521,0.008883473214541497,0.8259214256909049,0.6730484507874389,0.008949748901916906,0.006973416212738478,0.008962925484349477,0.015680202404627513,0.014428355937245877,0.001251846467381636
XOM,2,0.8917842873440391,0.7849193506360863,0.008012070073511198,0.008012957238920777,0.8541569089937335,0.7177846102199559,0.008314947232187845,0.0065580932783365475,0.008328436260497,0.015680202404627513,0.015089234560319536,0.0005909678443079772
XOM,3,0.8975056128112702,0.7922619734201243,0.007874120747927735,0.007873139601619457,0.8525656403807634,0.7166245980287511,0.008332018499776443,0.006518331370755738,0.008346221233340383,0.015680202404627513,0.01495106671830244,0.000729135686325072
XOM,4,0.8999337808926451,0.7972263816920462,0.007779466139915711,0.007779213805839721,0.8567499102344635,0.7263651266986864,0.008187567124302847,0.006365410728050104,0.008200373281451179,0.015680202404627513,0.014794178533480907,0.0008860238711466059
XOM,5,0.9031883774906309,0.8042560446412218,0.007643429239259927,0.007643926772404141,0.8604933665692241,0.7372603428320776,0.008022910831961848,0.006230170698468947,0.008036805335737439,0.015680202404627513,0.014372891897497513,0.0013073105071300002
