k,silhouette_score
2,0.43137960728922775
3,0.10450430364369996
4,0.1293425818809672
5,0.1378599623695246
6,0.16463858096044204
7,0.18162379042324267
8,0.14215340911893204
9,0.14866543616789019
10,0.14644563672030136
11,0.14883520606849948
12,0.1458920723745945
13,0.1509675421802413
14,0.1080635276435794
15,0.1558563438117795
16,0.15339035287572828
17,0.15120205828941063
18,0.13068313790673028
19,0.12073760223010806
20,0.12607755734161225
21,0.12855679032370756
22,0.12699990802307876
23,0.1261540007995819
24,0.12366209002290962
25,0.1062292111559677
26,0.10329337432692089
27,0.10018569077367707
28,0.08063803269326428
29,0.07834861763704414
30,0.07419133994195697
31,0.06723543653596911
32,0.06057485824582211
33,0.05756021419287718
34,0.05238838417342805
35,0.03861594124866028
36,0.028994889117284307
37,0.012404455966785091
