date,ticker_1,ticker_2,window,rolling_correlation
2018-05-17,TS,EQNR,252,
2018-05-18,TS,EQNR,252,
2018-05-21,TS,EQNR,252,
2018-05-22,TS,EQNR,252,
2018-05-23,TS,EQNR,252,
2018-05-24,TS,EQNR,252,
2018-05-25,TS,EQNR,252,
2018-05-29,TS,EQNR,252,
2018-05-30,TS,EQNR,252,
2018-05-31,TS,EQNR,252,
2018-06-01,TS,EQNR,252,
2018-06-04,TS,EQNR,252,
2018-06-05,TS,EQNR,252,
2018-06-06,TS,EQNR,252,
2018-06-07,TS,EQNR,252,
2018-06-08,TS,EQNR,252,
2018-06-11,TS,EQNR,252,
2018-06-12,TS,EQNR,252,
2018-06-13,TS,EQNR,252,
2018-06-14,TS,EQNR,252,
2018-06-15,TS,EQNR,252,
2018-06-18,TS,EQNR,252,
2018-06-19,TS,EQNR,252,
2018-06-20,TS,EQNR,252,
2018-06-21,TS,EQNR,252,
2018-06-22,TS,EQNR,252,
2018-06-25,TS,EQNR,252,
2018-06-26,TS,EQNR,252,
2018-06-27,TS,EQNR,252,
2018-06-28,TS,EQNR,252,
2018-06-29,TS,EQNR,252,
2018-07-02,TS,EQNR,252,
2018-07-03,TS,EQNR,252,
2018-07-05,TS,EQNR,252,
2018-07-06,TS,EQNR,252,
2018-07-09,TS,EQNR,252,
2018-07-10,TS,EQNR,252,
2018-07-11,TS,EQNR,252,
2018-07-12,TS,EQNR,252,
2018-07-13,TS,EQNR,252,
2018-07-16,TS,EQNR,252,
2018-07-17,TS,EQNR,252,
2018-07-18,TS,EQNR,252,
2018-07-19,TS,EQNR,252,
2018-07-20,TS,EQNR,252,
2018-07-23,TS,EQNR,252,
2018-07-24,TS,EQNR,252,
2018-07-25,TS,EQNR,252,
2018-07-26,TS,EQNR,252,
2018-07-27,TS,EQNR,252,
2018-07-30,TS,EQNR,252,
2018-07-31,TS,EQNR,252,
2018-08-01,TS,EQNR,252,
2018-08-02,TS,EQNR,252,
2018-08-03,TS,EQNR,252,
2018-08-06,TS,EQNR,252,
2018-08-07,TS,EQNR,252,
2018-08-08,TS,EQNR,252,
2018-08-09,TS,EQNR,252,
2018-08-10,TS,EQNR,252,
2018-08-13,TS,EQNR,252,
2018-08-14,TS,EQNR,252,
2018-08-15,TS,EQNR,252,
2018-08-16,TS,EQNR,252,
2018-08-17,TS,EQNR,252,
2018-08-20,TS,EQNR,252,
2018-08-21,TS,EQNR,252,
2018-08-22,TS,EQNR,252,
2018-08-23,TS,EQNR,252,
2018-08-24,TS,EQNR,252,
2018-08-27,TS,EQNR,252,
2018-08-28,TS,EQNR,252,
2018-08-29,TS,EQNR,252,
2018-08-30,TS,EQNR,252,
2018-08-31,TS,EQNR,252,
2018-09-04,TS,EQNR,252,
2018-09-05,TS,EQNR,252,
2018-09-06,TS,EQNR,252,
2018-09-07,TS,EQNR,252,
2018-09-10,TS,EQNR,252,
2018-09-11,TS,EQNR,252,
2018-09-12,TS,EQNR,252,
2018-09-13,TS,EQNR,252,
2018-09-14,TS,EQNR,252,
2018-09-17,TS,EQNR,252,
2018-09-18,TS,EQNR,252,
2018-09-19,TS,EQNR,252,
2018-09-20,TS,EQNR,252,
2018-09-21,TS,EQNR,252,
2018-09-24,TS,EQNR,252,
2018-09-25,TS,EQNR,252,
2018-09-26,TS,EQNR,252,
2018-09-27,TS,EQNR,252,
2018-09-28,TS,EQNR,252,
2018-10-01,TS,EQNR,252,
2018-10-02,TS,EQNR,252,
2018-10-03,TS,EQNR,252,
2018-10-04,TS,EQNR,252,
2018-10-05,TS,EQNR,252,
2018-10-08,TS,EQNR,252,
2018-10-09,TS,EQNR,252,
2018-10-10,TS,EQNR,252,
2018-10-11,TS,EQNR,252,
2018-10-12,TS,EQNR,252,
2018-10-15,TS,EQNR,252,
2018-10-16,TS,EQNR,252,
2018-10-17,TS,EQNR,252,
2018-10-18,TS,EQNR,252,
2018-10-19,TS,EQNR,252,
2018-10-22,TS,EQNR,252,
2018-10-23,TS,EQNR,252,
2018-10-24,TS,EQNR,252,
2018-10-25,TS,EQNR,252,
2018-10-26,TS,EQNR,252,
2018-10-29,TS,EQNR,252,
2018-10-30,TS,EQNR,252,
2018-10-31,TS,EQNR,252,
2018-11-01,TS,EQNR,252,
2018-11-02,TS,EQNR,252,
2018-11-05,TS,EQNR,252,
2018-11-06,TS,EQNR,252,
2018-11-07,TS,EQNR,252,
2018-11-08,TS,EQNR,252,
2018-11-09,TS,EQNR,252,
2018-11-12,TS,EQNR,252,
2018-11-13,TS,EQNR,252,
2018-11-14,TS,EQNR,252,
2018-11-15,TS,EQNR,252,
2018-11-16,TS,EQNR,252,
2018-11-19,TS,EQNR,252,
2018-11-20,TS,EQNR,252,
2018-11-21,TS,EQNR,252,
2018-11-23,TS,EQNR,252,
2018-11-26,TS,EQNR,252,
2018-11-27,TS,EQNR,252,
2018-11-28,TS,EQNR,252,
2018-11-29,TS,EQNR,252,
2018-11-30,TS,EQNR,252,
2018-12-03,TS,EQNR,252,
2018-12-04,TS,EQNR,252,
2018-12-06,TS,EQNR,252,
2018-12-07,TS,EQNR,252,
2018-12-10,TS,EQNR,252,
2018-12-11,TS,EQNR,252,
2018-12-12,TS,EQNR,252,
2018-12-13,TS,EQNR,252,
2018-12-14,TS,EQNR,252,
2018-12-17,TS,EQNR,252,
2018-12-18,TS,EQNR,252,
2018-12-19,TS,EQNR,252,
2018-12-20,TS,EQNR,252,
2018-12-21,TS,EQNR,252,
2018-12-24,TS,EQNR,252,
2018-12-26,TS,EQNR,252,
2018-12-27,TS,EQNR,252,
2018-12-28,TS,EQNR,252,
2018-12-31,TS,EQNR,252,
2019-01-02,TS,EQNR,252,
2019-01-03,TS,EQNR,252,
2019-01-04,TS,EQNR,252,
2019-01-07,TS,EQNR,252,
2019-01-08,TS,EQNR,252,
2019-01-09,TS,EQNR,252,
2019-01-10,TS,EQNR,252,
2019-01-11,TS,EQNR,252,
2019-01-14,TS,EQNR,252,
2019-01-15,TS,EQNR,252,
2019-01-16,TS,EQNR,252,
2019-01-17,TS,EQNR,252,
2019-01-18,TS,EQNR,252,
2019-01-22,TS,EQNR,252,
2019-01-23,TS,EQNR,252,
2019-01-24,TS,EQNR,252,
2019-01-25,TS,EQNR,252,
2019-01-28,TS,EQNR,252,
2019-01-29,TS,EQNR,252,
2019-01-30,TS,EQNR,252,
2019-01-31,TS,EQNR,252,
2019-02-01,TS,EQNR,252,
2019-02-04,TS,EQNR,252,
2019-02-05,TS,EQNR,252,
2019-02-06,TS,EQNR,252,
2019-02-07,TS,EQNR,252,
2019-02-08,TS,EQNR,252,
2019-02-11,TS,EQNR,252,
2019-02-12,TS,EQNR,252,
2019-02-13,TS,EQNR,252,
2019-02-14,TS,EQNR,252,
2019-02-15,TS,EQNR,252,
2019-02-19,TS,EQNR,252,
2019-02-20,TS,EQNR,252,
2019-02-21,TS,EQNR,252,
2019-02-22,TS,EQNR,252,
2019-02-25,TS,EQNR,252,
2019-02-26,TS,EQNR,252,
2019-02-27,TS,EQNR,252,
2019-02-28,TS,EQNR,252,
2019-03-01,TS,EQNR,252,
2019-03-04,TS,EQNR,252,
2019-03-05,TS,EQNR,252,
2019-03-06,TS,EQNR,252,
2019-03-07,TS,EQNR,252,
2019-03-08,TS,EQNR,252,
2019-03-11,TS,EQNR,252,
2019-03-12,TS,EQNR,252,
2019-03-13,TS,EQNR,252,
2019-03-14,TS,EQNR,252,
2019-03-15,TS,EQNR,252,
2019-03-18,TS,EQNR,252,
2019-03-19,TS,EQNR,252,
2019-03-20,TS,EQNR,252,
2019-03-21,TS,EQNR,252,
2019-03-22,TS,EQNR,252,
2019-03-25,TS,EQNR,252,
2019-03-26,TS,EQNR,252,
2019-03-27,TS,EQNR,252,
2019-03-28,TS,EQNR,252,
2019-03-29,TS,EQNR,252,
2019-04-01,TS,EQNR,252,
2019-04-02,TS,EQNR,252,
2019-04-03,TS,EQNR,252,
2019-04-04,TS,EQNR,252,
2019-04-05,TS,EQNR,252,
2019-04-08,TS,EQNR,252,
2019-04-09,TS,EQNR,252,
2019-04-10,TS,EQNR,252,
2019-04-11,TS,EQNR,252,
2019-04-12,TS,EQNR,252,
2019-04-15,TS,EQNR,252,
2019-04-16,TS,EQNR,252,
2019-04-17,TS,EQNR,252,
2019-04-18,TS,EQNR,252,
2019-04-22,TS,EQNR,252,
2019-04-23,TS,EQNR,252,
2019-04-24,TS,EQNR,252,
2019-04-25,TS,EQNR,252,
2019-04-26,TS,EQNR,252,
2019-04-29,TS,EQNR,252,
2019-04-30,TS,EQNR,252,
2019-05-01,TS,EQNR,252,
2019-05-02,TS,EQNR,252,
2019-05-03,TS,EQNR,252,
2019-05-06,TS,EQNR,252,
2019-05-07,TS,EQNR,252,
2019-05-08,TS,EQNR,252,
2019-05-09,TS,EQNR,252,
2019-05-10,TS,EQNR,252,
2019-05-13,TS,EQNR,252,
2019-05-14,TS,EQNR,252,
2019-05-15,TS,EQNR,252,
2019-05-16,TS,EQNR,252,
2019-05-17,TS,EQNR,252,0.6363124253594118
2019-05-20,TS,EQNR,252,0.6368137176306411
2019-05-21,TS,EQNR,252,0.6368728636169271
2019-05-22,TS,EQNR,252,0.6373310185648028
2019-05-23,TS,EQNR,252,0.640485215559309
2019-05-24,TS,EQNR,252,0.6387782546173664
2019-05-28,TS,EQNR,252,0.6390600994128295
2019-05-29,TS,EQNR,252,0.6381613584401211
2019-05-30,TS,EQNR,252,0.6394010851776492
2019-05-31,TS,EQNR,252,0.6337189046985372
2019-06-03,TS,EQNR,252,0.648312402932939
2019-06-04,TS,EQNR,252,0.6466902647999799
2019-06-05,TS,EQNR,252,0.6492624825485585
2019-06-06,TS,EQNR,252,0.650279662192352
2019-06-07,TS,EQNR,252,0.6491756021615119
2019-06-10,TS,EQNR,252,0.647658963457376
2019-06-11,TS,EQNR,252,0.6485298775330458
2019-06-12,TS,EQNR,252,0.653852095288998
2019-06-13,TS,EQNR,252,0.6539812300134281
2019-06-14,TS,EQNR,252,0.6519567513338689
2019-06-17,TS,EQNR,252,0.6495454758308461
2019-06-18,TS,EQNR,252,0.6494508020390145
2019-06-19,TS,EQNR,252,0.6504615286850809
2019-06-20,TS,EQNR,252,0.6556003546062013
2019-06-21,TS,EQNR,252,0.6565324148535974
2019-06-24,TS,EQNR,252,0.6569198767045954
2019-06-25,TS,EQNR,252,0.6486816692681113
2019-06-26,TS,EQNR,252,0.6475724326296665
2019-06-27,TS,EQNR,252,0.6471957271597837
2019-06-28,TS,EQNR,252,0.6461395030573658
2019-07-01,TS,EQNR,252,0.6459087342546896
2019-07-02,TS,EQNR,252,0.6454072008631662
2019-07-03,TS,EQNR,252,0.6458237756064337
2019-07-05,TS,EQNR,252,0.6441012220943715
2019-07-08,TS,EQNR,252,0.6477015010037256
2019-07-09,TS,EQNR,252,0.6492364331845866
2019-07-10,TS,EQNR,252,0.6478178691587638
2019-07-11,TS,EQNR,252,0.6476954456779368
2019-07-12,TS,EQNR,252,0.6414188521995159
2019-07-15,TS,EQNR,252,0.6420870506382742
2019-07-16,TS,EQNR,252,0.644052385340009
2019-07-17,TS,EQNR,252,0.6456516582616426
2019-07-18,TS,EQNR,252,0.6457570350075815
2019-07-19,TS,EQNR,252,0.6438769928776499
2019-07-22,TS,EQNR,252,0.6443754100702098
2019-07-23,TS,EQNR,252,0.6442872643882968
2019-07-24,TS,EQNR,252,0.6422606683321866
2019-07-25,TS,EQNR,252,0.6413184018485482
2019-07-26,TS,EQNR,252,0.6399296787499713
2019-07-29,TS,EQNR,252,0.6405042157928449
2019-07-30,TS,EQNR,252,0.6415749069741202
2019-07-31,TS,EQNR,252,0.6408143216039789
2019-08-01,TS,EQNR,252,0.6416314662332872
2019-08-02,TS,EQNR,252,0.6416242356061178
2019-08-05,TS,EQNR,252,0.6523416624197129
2019-08-06,TS,EQNR,252,0.6522165368530063
2019-08-07,TS,EQNR,252,0.6522126372446474
2019-08-08,TS,EQNR,252,0.6512192078673911
2019-08-09,TS,EQNR,252,0.6545018628544015
2019-08-12,TS,EQNR,252,0.6542168297395311
2019-08-13,TS,EQNR,252,0.6528153007518801
2019-08-14,TS,EQNR,252,0.6628464714633885
2019-08-15,TS,EQNR,252,0.6629862993378629
2019-08-16,TS,EQNR,252,0.6594566305964242
2019-08-19,TS,EQNR,252,0.6601925785287673
2019-08-20,TS,EQNR,252,0.6599254711526588
2019-08-21,TS,EQNR,252,0.6617410646070263
2019-08-22,TS,EQNR,252,0.6618944550750621
2019-08-23,TS,EQNR,252,0.6603948324917772
2019-08-26,TS,EQNR,252,0.6633069554520873
2019-08-27,TS,EQNR,252,0.6616379992663952
2019-08-28,TS,EQNR,252,0.6598587588259343
2019-08-29,TS,EQNR,252,0.6586310015036346
2019-08-30,TS,EQNR,252,0.6579624984073853
2019-09-03,TS,EQNR,252,0.6662762027037509
2019-09-04,TS,EQNR,252,0.6733436040317381
2019-09-05,TS,EQNR,252,0.6704410254828808
2019-09-06,TS,EQNR,252,0.6704672996236541
2019-09-09,TS,EQNR,252,0.6717328762037693
2019-09-10,TS,EQNR,252,0.6735721383755223
2019-09-11,TS,EQNR,252,0.6709357723135264
2019-09-12,TS,EQNR,252,0.6701411962725187
2019-09-13,TS,EQNR,252,0.6687023029077614
2019-09-16,TS,EQNR,252,0.669251447658001
2019-09-17,TS,EQNR,252,0.6702450402098279
2019-09-18,TS,EQNR,252,0.6697898953154574
2019-09-19,TS,EQNR,252,0.6700338377446206
2019-09-20,TS,EQNR,252,0.6696450663709711
2019-09-23,TS,EQNR,252,0.6699116238193742
2019-09-24,TS,EQNR,252,0.6713120474162283
2019-09-25,TS,EQNR,252,0.6721729837781225
2019-09-26,TS,EQNR,252,0.6643997120142977
2019-09-27,TS,EQNR,252,0.6591482699433214
2019-09-30,TS,EQNR,252,0.6606539813156913
2019-10-01,TS,EQNR,252,0.6590371166977278
2019-10-02,TS,EQNR,252,0.6610405325420954
2019-10-03,TS,EQNR,252,0.6616879974864232
2019-10-04,TS,EQNR,252,0.660690304692156
2019-10-07,TS,EQNR,252,0.6604783125103998
2019-10-08,TS,EQNR,252,0.6610068870540897
2019-10-09,TS,EQNR,252,0.6618762196791768
2019-10-10,TS,EQNR,252,0.6626471750184515
2019-10-11,TS,EQNR,252,0.6620207551153144
2019-10-14,TS,EQNR,252,0.6595931354491333
2019-10-15,TS,EQNR,252,0.6588803789732068
2019-10-16,TS,EQNR,252,0.6588993533307084
2019-10-17,TS,EQNR,252,0.6584324986360973
2019-10-18,TS,EQNR,252,0.6584532245252646
2019-10-21,TS,EQNR,252,0.6572952722623515
2019-10-22,TS,EQNR,252,0.6595513983868482
2019-10-23,TS,EQNR,252,0.6579319631596956
2019-10-24,TS,EQNR,252,0.6531224038748336
2019-10-25,TS,EQNR,252,0.6496000716384208
2019-10-28,TS,EQNR,252,0.642231999003926
2019-10-29,TS,EQNR,252,0.6418660621175841
2019-10-30,TS,EQNR,252,0.6426222295080043
2019-10-31,TS,EQNR,252,0.6417492557229401
2019-11-01,TS,EQNR,252,0.6506894796619584
2019-11-04,TS,EQNR,252,0.6630296659761233
2019-11-05,TS,EQNR,252,0.6625834962790657
2019-11-06,TS,EQNR,252,0.6643914773695108
2019-11-07,TS,EQNR,252,0.6605025544820258
2019-11-08,TS,EQNR,252,0.6624292838674289
2019-11-11,TS,EQNR,252,0.6606101491977537
2019-11-12,TS,EQNR,252,0.6605478265060625
2019-11-13,TS,EQNR,252,0.6594704168096027
2019-11-14,TS,EQNR,252,0.6533451224932988
2019-11-15,TS,EQNR,252,0.6515502407198812
2019-11-18,TS,EQNR,252,0.6510822453481548
2019-11-19,TS,EQNR,252,0.6529669202640016
2019-11-20,TS,EQNR,252,0.6529025585823862
2019-11-21,TS,EQNR,252,0.6459050288081161
2019-11-22,TS,EQNR,252,0.6418758681329689
2019-11-25,TS,EQNR,252,0.6366189550307088
2019-11-26,TS,EQNR,252,0.6376024987047372
2019-11-27,TS,EQNR,252,0.6791470866747588
2019-11-29,TS,EQNR,252,0.6799347665657298
2019-12-02,TS,EQNR,252,0.6834863893051281
2019-12-03,TS,EQNR,252,0.6837570138276309
2019-12-04,TS,EQNR,252,0.6810996319506548
2019-12-05,TS,EQNR,252,0.6767623297392479
2019-12-06,TS,EQNR,252,0.6721926188674937
2019-12-09,TS,EQNR,252,0.6778752085557644
2019-12-10,TS,EQNR,252,0.6750513315083715
2019-12-11,TS,EQNR,252,0.6745565818717333
2019-12-12,TS,EQNR,252,0.6764175358322553
2019-12-13,TS,EQNR,252,0.671594516863211
2019-12-16,TS,EQNR,252,0.6656518109126894
2019-12-17,TS,EQNR,252,0.6654515503992507
2019-12-18,TS,EQNR,252,0.6684436107657675
2019-12-19,TS,EQNR,252,0.6733997836622992
2019-12-20,TS,EQNR,252,0.6703680988085308
2019-12-23,TS,EQNR,252,0.6732315939367167
2019-12-24,TS,EQNR,252,0.6731938557172263
2019-12-26,TS,EQNR,252,0.6620022997508642
2019-12-27,TS,EQNR,252,0.661366622254463
2019-12-30,TS,EQNR,252,0.6606551937082595
2019-12-31,TS,EQNR,252,0.6610453216208786
2020-01-02,TS,EQNR,252,0.6541040946108507
2020-01-03,TS,EQNR,252,0.6546499127853201
2020-01-06,TS,EQNR,252,0.6478526658909138
2020-01-07,TS,EQNR,252,0.6446941221929832
2020-01-08,TS,EQNR,252,0.6448519473037093
2020-01-09,TS,EQNR,252,0.6433230621912858
2020-01-10,TS,EQNR,252,0.6443928431149437
2020-01-13,TS,EQNR,252,0.6438607177789161
2020-01-14,TS,EQNR,252,0.6432522906093067
2020-01-15,TS,EQNR,252,0.6458861082633629
2020-01-16,TS,EQNR,252,0.6473913724024338
2020-01-17,TS,EQNR,252,0.6471153155221545
2020-01-21,TS,EQNR,252,0.6443091329781853
2020-01-22,TS,EQNR,252,0.6401113664281354
2020-01-23,TS,EQNR,252,0.6418930056723335
2020-01-24,TS,EQNR,252,0.6406707917738965
2020-01-27,TS,EQNR,252,0.6505469867968973
2020-01-28,TS,EQNR,252,0.6482741145978121
2020-01-29,TS,EQNR,252,0.6449617396882997
2020-01-30,TS,EQNR,252,0.6443699761104014
2020-01-31,TS,EQNR,252,0.649219121926366
2020-02-03,TS,EQNR,252,0.6504419403560289
2020-02-04,TS,EQNR,252,0.650005150325346
2020-02-05,TS,EQNR,252,0.6514724635894837
2020-02-06,TS,EQNR,252,0.6450962183599924
2020-02-07,TS,EQNR,252,0.6417953846583324
2020-02-10,TS,EQNR,252,0.6383119461976966
2020-02-11,TS,EQNR,252,0.6439869495005504
2020-02-12,TS,EQNR,252,0.6434409520102606
2020-02-13,TS,EQNR,252,0.6460170483247555
2020-02-14,TS,EQNR,252,0.6482593544827145
2020-02-18,TS,EQNR,252,0.6438032412905565
2020-02-19,TS,EQNR,252,0.6451240221514829
2020-02-20,TS,EQNR,252,0.6434052265869431
2020-02-21,TS,EQNR,252,0.6478596947698433
2020-02-24,TS,EQNR,252,0.6639579542838138
2020-02-25,TS,EQNR,252,0.6634037535554115
2020-02-26,TS,EQNR,252,0.6635450849040301
2020-02-27,TS,EQNR,252,0.6697385025662788
2020-02-28,TS,EQNR,252,0.668930180079822
2020-03-02,TS,EQNR,252,0.6715077958705026
2020-03-03,TS,EQNR,252,0.671589987871162
2020-03-04,TS,EQNR,252,0.6700209445356451
2020-03-05,TS,EQNR,252,0.6731284271875047
2020-03-06,TS,EQNR,252,0.6842240584523724
2020-03-09,TS,EQNR,252,0.8159530827213352
2020-03-10,TS,EQNR,252,0.8212489178731888
2020-03-11,TS,EQNR,252,0.8283952342258762
2020-03-12,TS,EQNR,252,0.8487269916362415
2020-03-13,TS,EQNR,252,0.8553674090132101
2020-03-16,TS,EQNR,252,0.8704034462634113
2020-03-17,TS,EQNR,252,0.867482059769201
2020-03-18,TS,EQNR,252,0.8552663586955231
2020-03-19,TS,EQNR,252,0.8628467337108287
2020-03-20,TS,EQNR,252,0.8629113565582789
2020-03-23,TS,EQNR,252,0.8602032325614628
2020-03-24,TS,EQNR,252,0.8541886866487203
2020-03-25,TS,EQNR,252,0.8394357652136514
2020-03-26,TS,EQNR,252,0.8297776725922996
2020-03-27,TS,EQNR,252,0.8253082190347848
2020-03-30,TS,EQNR,252,0.8148452563733095
2020-03-31,TS,EQNR,252,0.8100079798386564
2020-04-01,TS,EQNR,252,0.8070421003323173
2020-04-02,TS,EQNR,252,0.8086510429852497
2020-04-03,TS,EQNR,252,0.8017304500738576
2020-04-06,TS,EQNR,252,0.8010086584408929
2020-04-07,TS,EQNR,252,0.799825332919479
2020-04-08,TS,EQNR,252,0.800319041106111
2020-04-09,TS,EQNR,252,0.8006446533028273
2020-04-13,TS,EQNR,252,0.8004819624636027
2020-04-14,TS,EQNR,252,0.7981143385419756
2020-04-15,TS,EQNR,252,0.7989965880259966
2020-04-16,TS,EQNR,252,0.800458392541788
2020-04-17,TS,EQNR,252,0.7981414381485007
2020-04-20,TS,EQNR,252,0.7997841112277783
2020-04-21,TS,EQNR,252,0.7995925786140765
2020-04-22,TS,EQNR,252,0.8011416119438135
2020-04-23,TS,EQNR,252,0.7984574930235996
2020-04-24,TS,EQNR,252,0.7987636517815039
2020-04-27,TS,EQNR,252,0.7989993241270872
2020-04-28,TS,EQNR,252,0.7990082535332372
2020-04-29,TS,EQNR,252,0.8022179957017745
2020-04-30,TS,EQNR,252,0.8020451900349554
2020-05-01,TS,EQNR,252,0.8032726207858755
2020-05-04,TS,EQNR,252,0.8033672399208395
2020-05-05,TS,EQNR,252,0.8018584255761062
2020-05-06,TS,EQNR,252,0.8030588586967867
2020-05-07,TS,EQNR,252,0.8041925301322248
2020-05-08,TS,EQNR,252,0.8048587151696113
2020-05-11,TS,EQNR,252,0.8044476297043508
2020-05-12,TS,EQNR,252,0.8032262234509401
