cluster,count,mean,median,min,max,std
1,7,0.3500551092364286,0.3664868876487685,0.2939155012507241,0.40013519176823675,0.04934008998338759
2,11,0.371956263785845,0.37416157707141595,0.2477139898698698,0.47881292906978223,0.07218841603843203
3,1,0.3575788969331377,0.3575788969331377,0.3575788969331377,0.3575788969331377,
4,8,0.4081123364975705,0.32331258531619833,0.22635175520890308,0.905165624132661,0.22098316221859599
5,3,0.38248027034035775,0.3946294782870235,0.3353261372896473,0.4174851954444024,0.04240554385357653
6,4,0.4055983667981913,0.4125978161947572,0.3625363144266495,0.4346615203766013,0.0321409462941463
7,2,0.34405211666813373,0.34405211666813373,0.3428673825486513,0.34523685078761623,0.0016754670595782396
8,1,0.49444293991979354,0.49444293991979354,0.49444293991979354,0.49444293991979354,
9,1,0.4360221301262033,0.4360221301262033,0.4360221301262033,0.4360221301262033,
