basket_type,n_stocks,stocks,test_correlation,test_r_squared,test_tracking_error,test_rmse,annualized_xom_volatility,annualized_basket_volatility,volatility_reduction,xom_final_wealth,basket_final_wealth,xom_max_drawdown,basket_max_drawdown
unrestricted,2,COP|E,0.8151932002504466,0.6187169201860956,0.009680192746969,0.009664801027104462,0.24891549641880834,0.2561044592254941,-0.028881138017176955,151.76733944897228,160.36842817244704,-0.20133304516380612,-0.20644637184052628
unrestricted,2,COP|SU,0.8161940324828502,0.6100815206976389,0.009789220442757799,0.009773633737246944,0.24891549641880834,0.26203002588360036,-0.05268667340311506,151.76733944897228,160.42088162756792,-0.20133304516380612,-0.21181056529300413
unrestricted,2,COP|IMO,0.8127669855130037,0.6035482338565206,0.009871984261672203,0.009855174747966496,0.24891549641880834,0.26171957850253796,-0.05143947350785405,151.76733944897228,157.6891082355277,-0.20133304516380612,-0.1981462616535603
unrestricted,2,COP|OKE,0.803127213578017,0.5880803766416343,0.010060646056214175,0.01004558867914358,0.24891549641880834,0.2591728558046824,-0.041208199302367854,151.76733944897228,141.66936428393575,-0.20133304516380612,-0.1734947162638888
unrestricted,2,EOG|E,0.7849901581912846,0.5836585762035601,0.01011755780420003,0.010099362540139717,0.24891549641880834,0.24030423619727154,0.03459511499054313,151.76733944897228,150.96107209011004,-0.20133304516380612,-0.1537845387465645
unrestricted,2,COP|PSX,0.8027757649693829,0.5561159225352845,0.010441405217628381,0.01042806991746478,0.24891549641880834,0.2736082837744585,-0.09920148689378405,151.76733944897228,166.69369913721707,-0.20133304516380612,-0.17989377169449494
unrestricted,2,COP|EOG,0.8114778942328191,0.5561005073269787,0.01044561011354606,0.010428250988923018,0.24891549641880834,0.28159292027791355,-0.13127918642768788,151.76733944897228,144.6173362239054,-0.20133304516380612,-0.19399190977858716
unrestricted,2,EOG|SU,0.7754972479414239,0.5526942628170578,0.010487062738279615,0.010468184905155295,0.24891549641880834,0.24796507617016886,0.003818244594303466,151.76733944897228,151.9382589753262,-0.20133304516380612,-0.16606495141153155
unrestricted,2,EOG|IMO,0.7683112019922621,0.5376188507151448,0.010661828997949364,0.010643126180968718,0.24891549641880834,0.24835461229162076,0.0022533114059073434,151.76733944897228,147.51728673802666,-0.20133304516380612,-0.1451495630748263
unrestricted,2,COP|EQNR,0.8221783526214803,0.5308302159453189,0.010739230365027141,0.01072097215870456,0.24891549641880834,0.2994544511671859,-0.20303659464955182,151.76733944897228,158.30787013501174,-0.20133304516380612,-0.2295615090805817
