target,n_stocks,ticker,weight
XOM,1,CVX,1.0
XOM,2,CVX,0.6792768443331247
XOM,2,COP,0.32072315566687526
XOM,3,CVX,0.6488547643727444
XOM,3,COP,0.25225692945549105
XOM,3,HAL,0.09888830617176468
XOM,4,CVX,0.6259277778917245
XOM,4,COP,0.17915901288352196
XOM,4,HAL,0.07625650773375924
XOM,4,EOG,0.1186567014909945
XOM,5,CVX,0.58603015981458
XOM,5,COP,0.1355567336226657
XOM,5,HAL,0.060396064264456616
XOM,5,EOG,0.09828513834600755
XOM,5,SU,0.1197319039522902
