target,n_stocks,stocks,validation_correlation,validation_r_squared,validation_tracking_error,test_correlation,test_r_squared,test_tracking_error,test_rmse,test_target_volatility,test_basket_volatility,test_volatility_reduction,test_target_final_wealth,test_basket_final_wealth,test_target_max_drawdown,test_basket_max_drawdown
XOM,2,COP|HAL,0.8258491875908524,0.36321510044391836,0.0119014030454094,0.796542735249539,0.5079458498795553,0.010998863094296473,0.010979323980031472,0.24891549641880834,0.2868070870623797,-0.1522267242848454,151.76733944897228,154.99422206206725,-0.20133304516380612,-0.2130501844488344
XOM,2,COP|SU,0.8370447075103326,0.5095453493273703,0.010468563584263174,0.8169256846695597,0.6039698970635515,0.00986623252650141,0.009849932407674305,0.24891549641880834,0.2659615453413032,-0.06848126841333468,151.76733944897228,159.09606105713593,-0.20133304516380612,-0.21343885403349871
XOM,2,COP|EOG,0.8296927271968179,0.46468005045454797,0.010932808768036767,0.809872785841385,0.5432819717561157,0.010596049401887811,0.010577748295562503,0.24891549641880834,0.2850954327403134,-0.14535027686918767,151.76733944897228,146.4644270878144,-0.20133304516380612,-0.20196906028127715
XOM,2,COP|IMO,0.8321710696823088,0.49977089186534696,0.010579485978615053,0.814015603749825,0.602706616327203,0.00988259974323434,0.009865629854063274,0.24891549641880834,0.26351576957842104,-0.05865554121647487,151.76733944897228,157.23191975028655,-0.20133304516380612,-0.19997883892977752
XOM,2,COP|OXY,0.8268783947100553,0.4002870229030051,0.011559181136652573,0.8048922122797996,0.49994766514496425,0.011088117322829485,0.011068197006146958,0.24891549641880834,0.296077545100815,-0.1894701188175727,151.76733944897228,150.5122835066515,-0.20133304516380612,-0.22823823324954173
XOM,2,COP|VLO,0.8272079775017661,0.43294780896681917,0.011249960761875488,0.7936553517759233,0.5175926484782197,0.010881239273733204,0.01087116555808614,0.24891549641880834,0.28065217725693276,-0.1274998193954402,151.76733944897228,172.21828959414523,-0.20133304516380612,-0.16011335276734384
XOM,2,COP|CVE,0.8247591236759372,0.3873107998479134,0.011684655723414495,0.8123190007519719,0.5274708575239445,0.010775592333039184,0.010759285951743924,0.24891549641880834,0.2926753011233179,-0.1758018497606204,151.76733944897228,163.04854341433196,-0.20133304516380612,-0.20134779682282
XOM,2,COP|PSX,0.825764559735895,0.4321127471910273,0.011259065207967538,0.8019498238403208,0.5550724802351441,0.010453366663718601,0.010440319401901163,0.24891549641880834,0.27327289154084583,-0.09785407285794445,151.76733944897228,167.14072393261594,-0.20133304516380612,-0.17881610418440363
XOM,2,COP|SLB,0.8337697705182056,0.43461072294630543,0.011225436254950438,0.7906522537164082,0.5295403020735931,0.010754977482265296,0.01073569991710414,0.24891549641880834,0.27376171155899304,-0.09981787191899105,151.76733944897228,153.56269841311803,-0.20133304516380612,-0.2068880980666451
XOM,2,COP|KMI,0.770073060593905,0.5058931302828763,0.010516524447786623,0.7823911909092679,0.6033552599266906,0.0098669724543222,0.009857572972155976,0.24891549641880834,0.21716274514821454,0.12756438119533053,151.76733944897228,135.57043011017052,-0.20133304516380612,-0.15691283706024983
XOM,2,COP|DVN,0.8186824550922128,0.34887524437706185,0.012047504053466036,0.8033964742471708,0.49403781331386765,0.01115348717020891,0.011133409452783013,0.24891549641880834,0.29683380044700747,-0.19250831996243023,151.76733944897228,151.9195076343402,-0.20133304516380612,-0.22279585870131313
XOM,2,COP|BKR,0.8080840785977114,0.39990807508831083,0.011585898833707262,0.7563327665019733,0.47792697510037385,0.011329440330789458,0.011309275348510858,0.24891549641880834,0.26461593863666416,-0.0630753908203423,151.76733944897228,154.8416080342351,-0.20133304516380612,-0.20242193516559226
XOM,2,COP|OKE,0.8008634818650968,0.4415659297645468,0.011172558094833274,0.8015800332408045,0.5867743354617835,0.010076338483330737,0.01006150145508435,0.24891549641880834,0.2581583779167662,-0.037132607776281024,151.76733944897228,141.27266394598408,-0.20133304516380612,-0.1713665327615166
XOM,2,COP|EQNR,0.8419420436275761,0.5386149382130705,0.010148649205506028,0.8222086073988644,0.534552804693476,0.010696762596811342,0.010678355122710132,0.24891549641880834,0.2982607040849675,-0.1982408021039168,151.76733944897228,157.55489941921098,-0.20133304516380612,-0.22826995100333358
XOM,2,HAL|SU,0.8144223980113899,0.40388650645975654,0.011537746181294365,0.7131504946289109,0.4072116869006194,0.01206310207843732,0.012050885703203876,0.24891549641880834,0.2564002980311874,-0.03006964901769571,151.76733944897228,173.3551851251346,-0.20133304516380612,-0.22702326438401244
XOM,2,HAL|EOG,0.8222513613387283,0.433396820857307,0.011243737673035673,0.7696296740845978,0.49596077338722067,0.011130717660673474,0.011112232492300885,0.24891549641880834,0.2687880342907223,-0.07983648329583204,151.76733944897228,144.13027914740474,-0.20133304516380612,-0.15617011794065283
XOM,2,HAL|IMO,0.808685428794181,0.38531875545962246,0.011727647193455449,0.6787638770504852,0.3115162586319883,0.0130049066091027,0.01298721395721354,0.24891549641880834,0.26490780606220865,-0.06424794708840764,151.76733944897228,168.9290909605979,-0.20133304516380612,-0.2075949936446998
XOM,2,HAL|OXY,0.8065706007589548,0.136495178363232,0.013821092606462373,0.704531657381586,0.21159766847258998,0.013922090556075387,0.013897705385599233,0.24891549641880834,0.3081811538934086,-0.23809549155141352,151.76733944897228,157.66724138551933,-0.20133304516380612,-0.2203802407667258
XOM,2,HAL|VLO,0.7767028079021583,0.09390005225268194,0.014206766670227884,0.6302500349176825,0.05057952766934859,0.015243350818606791,0.015251004423451205,0.24891549641880834,0.302504382416564,-0.21528947280803545,151.76733944897228,202.3115918987418,-0.20133304516380612,-0.1452995791378382
XOM,2,HAL|CVE,0.7828202184068893,0.0010313743188081759,0.01488658516606197,0.7029635038379682,0.19982671138289632,0.01399768169243881,0.014001068351790434,0.24891549641880834,0.3092699754214972,-0.24246975327377984,151.76733944897228,194.59901692872327,-0.20133304516380612,-0.22924132267377362
XOM,2,HAL|PSX,0.7822881983645672,0.15364362559801314,0.013733711714577731,0.6738747738040147,0.24014567668562592,0.013648127120659598,0.013643767822398437,0.24891549641880834,0.2822693375925126,-0.13399664405620348,151.76733944897228,186.5536692392326,-0.20133304516380612,-0.13864409963396618
XOM,2,HAL|SLB,0.776965669095156,0.012151766124763541,0.014816783494343374,0.5460099391468964,-0.26663878101714067,0.017645154360016437,0.017615522982496492,0.24891549641880834,0.32292174074355817,-0.2973147328691499,151.76733944897228,163.78533494759247,-0.20133304516380612,-0.21707961549061772
XOM,2,HAL|KMI,0.6730979577742227,0.2758440160526764,0.012731124854455067,0.5983954953551893,0.30038126136439325,0.013107297569604439,0.013091815236540164,0.24891549641880834,0.20828848908017356,0.16321606297375124,151.76733944897228,133.5181220874609,-0.20133304516380612,-0.15723238270509754
XOM,2,HAL|DVN,0.795320796128673,-0.04040389028096336,0.015182531722565864,0.7096788256908217,0.21964972816212835,0.013849290275769643,0.013826553676058286,0.24891549641880834,0.3092420415580676,-0.24235753099822244,151.76733944897228,162.52492487415776,-0.20133304516380612,-0.22304230268434544
XOM,2,HAL|BKR,0.735738916303454,-0.0252617435459348,0.015140060744149371,0.5044839532518491,-0.2770592699946137,0.017717043560529482,0.017687834984281704,0.24891549641880834,0.30698795465820244,-0.23330189994151795,151.76733944897228,165.3440559212135,-0.20133304516380612,-0.22818911116280705
XOM,2,HAL|OKE,0.7442928962535222,0.2166956334365453,0.01322696291805707,0.66959239187175,0.3098445996832795,0.013023620508594803,0.01300297106871322,0.24891549641880834,0.2592111445922408,-0.04136202173652426,151.76733944897228,140.80792768878035,-0.20133304516380612,-0.15584068684094077
XOM,2,HAL|EQNR,0.7978647646491849,0.32942540424959144,0.012221938535478831,0.744885317677536,0.2937784538590751,0.01317019805557165,0.013153448617909146,0.24891549641880834,0.3124161700701273,-0.2551093626749419,151.76733944897228,170.9348457553885,-0.20133304516380612,-0.23177272359047052
XOM,2,SU|EOG,0.8373490333268931,0.6007485083643525,0.009453904900895546,0.7743845231531479,0.5510871222289575,0.010505869695815993,0.010486973799179972,0.24891549641880834,0.24762106015219332,0.005200304059965299,151.76733944897228,152.55605621106184,-0.20133304516380612,-0.1676501424999508
XOM,2,SU|IMO,0.7769857978834025,0.4082563932445774,0.011499494727573573,0.667411584958974,0.32652300665191625,0.012858268237270598,0.012844894250202677,0.24891549641880834,0.25159477788929036,-0.010763819485043458,151.76733944897228,174.4468198744851,-0.20133304516380612,-0.2111958873616594
XOM,2,SU|OXY,0.8291405736376574,0.520909768939118,0.010353133253914876,0.739926602298785,0.44821074088690593,0.011642786952721376,0.011626681407990527,0.24891549641880834,0.2624274142844455,-0.05428315255592975,151.76733944897228,166.6228610201981,-0.20133304516380612,-0.2198765024288244
XOM,2,SU|VLO,0.8071743930838707,0.4703996619929989,0.010888683316532938,0.676878171802656,0.32244260331719365,0.012863237306199204,0.012883747248597982,0.24891549641880834,0.25862464848984534,-0.039005816073022004,151.76733944897228,203.7683918970878,-0.20133304516380612,-0.1597620559814047
XOM,2,SU|CVE,0.7864907552262348,0.35604700742590734,0.012005398612103226,0.6973156415318189,0.32051895970474964,0.012895752693197883,0.012902023318165689,0.24891549641880834,0.27395323167106306,-0.10058729011442469,151.76733944897228,193.38806593515557,-0.20133304516380612,-0.22559292191560942
XOM,2,SU|PSX,0.8109559282149105,0.4759503511668175,0.0108312284730578,0.717196925763967,0.43708243654596357,0.011736727434670042,0.011743337716255995,0.24891549641880834,0.2465226820774363,0.009612958517239312,151.76733944897228,189.91999395189734,-0.20133304516380612,-0.1542780288258926
XOM,2,SU|SLB,0.8206328614403665,0.48667650590701106,0.010718063141862239,0.6807456206254074,0.3854413585143883,0.012284951081287066,0.012270176669092208,0.24891549641880834,0.23862610460149783,0.041336887278397016,151.76733944897228,170.7710288383231,-0.20133304516380612,-0.2188939768397361
XOM,2,SU|KMI,0.6841957381819941,0.388033214099756,0.011675697004364757,0.6447751870169465,0.4054766728330427,0.012087005001207825,0.012068508502968527,0.24891549641880834,0.1853075465425084,0.2555403371483048,151.76733944897228,140.378762961727,-0.20133304516380612,-0.14442626438714967
