PC1,PC2,ticker,cluster
-3.61487488671144,-8.100123428646175,WDS,1
10.751101244479841,15.016565157313142,FTI,6
11.822067902810598,0.8263865013894709,EOG,2
-15.846187069401834,-4.494252416649469,KMI,4
4.271656755867761,6.113990198431802,BKR,6
-4.949137190508218,3.542004334406943,TRGP,4
-16.159149293962113,17.75439129059259,EQT,7
17.98565681228119,8.518259915284995,HAL,6
-7.386802246859534,-28.53301219195917,TTE,1
7.2651798452258545,-1.5888562626609553,SU,2
-21.134849859895684,-10.299481673915805,TRP,4
-4.980914608441463,-11.550720318233038,E,1
-14.369818371858242,-8.386362750637854,PBA,4
3.356597093969007,-9.137018195056203,EQNR,1
4.903136112719026,-1.0033361853198113,IMO,2
1.4699986367871225,1.537488021953395,TS,1
4.439033339522565,-4.703810722318699,XOM,2
1.5583562595236413,-6.978234784073034,CVX,2
12.36078588702528,-1.2865854034030715,COP,2
-17.28846242758049,-3.0204133355940623,WMB,4
12.747007958944582,5.966679562738254,SLB,6
10.67962567200805,-0.4742488617052097,VLO,5
7.248218026062173,-2.2409777651935046,PSX,5
6.207674054317389,-1.2182582627368226,MPC,5
-7.805096611391322,-1.5350207780376317,OKE,4
-11.312852817712416,-4.954643833193166,LNG,4
16.93521974634847,5.01371930049796,OXY,2
17.021155471750994,6.6361724133215265,FANG,2
2.5523321209652874,20.773923357918456,TPL,3
19.880131796810286,6.34183522042995,DVN,2
-14.935109491512678,7.876415814418121,EXE,7
-3.0170790070736717,-8.927330394038567,SHEL,1
-19.5613037271822,-11.261978019640326,ENB,4
2.5497854401105235,-9.42489695130362,BP,1
7.772700347917432,0.6468285762827419,CNQ,2
-36.536895091780586,39.35894595392219,CCJ,9
17.5786807779725,5.2789083663132335,CVE,2
-2.457568601547657,-12.082951450898568,PBR,8
