target,n_stocks,stocks,ticker,weight
XOM,2,IMO|CVE,CVE,0.3419641741641004
XOM,2,IMO|PSX,IMO,0.4976429298471192
XOM,2,IMO|PSX,PSX,0.5023570701528808
XOM,2,IMO|SLB,IMO,0.574162677327896
XOM,2,IMO|SLB,SLB,0.425837322672104
XOM,2,IMO|KMI,IMO,0.4151716397836744
XOM,2,IMO|KMI,KMI,0.5848283602163256
XOM,2,IMO|DVN,IMO,0.6512347393600475
XOM,2,IMO|DVN,DVN,0.3487652606399525
XOM,2,IMO|BKR,IMO,0.580300921398064
XOM,2,IMO|BKR,BKR,0.419699078601936
XOM,2,IMO|OKE,IMO,0.461511961303481
XOM,2,IMO|OKE,OKE,0.538488038696519
XOM,2,IMO|EQNR,IMO,0.5774828862857492
XOM,2,IMO|EQNR,EQNR,0.4225171137142508
XOM,2,OXY|VLO,OXY,0.41592994988766535
XOM,2,OXY|VLO,VLO,0.5840700501123346
XOM,2,OXY|CVE,OXY,0.4272022835907893
XOM,2,OXY|CVE,CVE,0.5727977164092106
XOM,2,OXY|PSX,OXY,0.343683834505053
XOM,2,OXY|PSX,PSX,0.656316165494947
XOM,2,OXY|SLB,OXY,0.40937894685313203
XOM,2,OXY|SLB,SLB,0.5906210531468679
XOM,2,OXY|KMI,OXY,0.2927752704007402
XOM,2,OXY|KMI,KMI,0.7072247295992599
XOM,2,OXY|DVN,OXY,0.4549033336302093
XOM,2,OXY|DVN,DVN,0.5450966663697908
XOM,2,OXY|BKR,OXY,0.413001533848968
XOM,2,OXY|BKR,BKR,0.586998466151032
XOM,2,OXY|OKE,OXY,0.3105817649324436
XOM,2,OXY|OKE,OKE,0.6894182350675564
XOM,2,OXY|EQNR,OXY,0.4045736321740118
XOM,2,OXY|EQNR,EQNR,0.5954263678259881
XOM,2,VLO|CVE,VLO,0.5283207927868693
XOM,2,VLO|CVE,CVE,0.4716792072131308
XOM,2,VLO|PSX,VLO,0.3148192016127098
XOM,2,VLO|PSX,PSX,0.6851807983872902
XOM,2,VLO|SLB,VLO,0.496488392132264
XOM,2,VLO|SLB,SLB,0.503511607867736
XOM,2,VLO|KMI,VLO,0.35073037653910716
XOM,2,VLO|KMI,KMI,0.6492696234608928
XOM,2,VLO|DVN,VLO,0.5616216803211622
XOM,2,VLO|DVN,DVN,0.43837831967883784
XOM,2,VLO|BKR,VLO,0.4990687032140044
XOM,2,VLO|BKR,BKR,0.5009312967859956
XOM,2,VLO|OKE,VLO,0.38930482090757684
XOM,2,VLO|OKE,OKE,0.6106951790924231
XOM,2,VLO|EQNR,VLO,0.4916117992220807
XOM,2,VLO|EQNR,EQNR,0.5083882007779194
XOM,2,CVE|PSX,CVE,0.3897286210382922
XOM,2,CVE|PSX,PSX,0.6102713789617078
XOM,2,CVE|SLB,CVE,0.46202413834988704
XOM,2,CVE|SLB,SLB,0.537975861650113
XOM,2,CVE|KMI,CVE,0.34859223793232935
XOM,2,CVE|KMI,KMI,0.6514077620676707
XOM,2,CVE|DVN,CVE,0.551469735297677
XOM,2,CVE|DVN,DVN,0.44853026470232304
XOM,2,CVE|BKR,CVE,0.47140725378781506
XOM,2,CVE|BKR,BKR,0.528592746212185
XOM,2,CVE|OKE,CVE,0.36861826160816935
XOM,2,CVE|OKE,OKE,0.6313817383918306
XOM,2,CVE|EQNR,CVE,0.4637331912223056
XOM,2,CVE|EQNR,EQNR,0.5362668087776944
XOM,2,PSX|SLB,PSX,0.5837181427934923
XOM,2,PSX|SLB,SLB,0.41628185720650773
XOM,2,PSX|KMI,PSX,0.41028812495015377
XOM,2,PSX|KMI,KMI,0.5897118750498462
XOM,2,PSX|DVN,PSX,0.6415244369330505
XOM,2,PSX|DVN,DVN,0.35847556306694955
XOM,2,PSX|BKR,PSX,0.5824181457840918
XOM,2,PSX|BKR,BKR,0.4175818542159082
XOM,2,PSX|OKE,PSX,0.46212431912620844
XOM,2,PSX|OKE,OKE,0.5378756808737916
XOM,2,PSX|EQNR,PSX,0.57211104631867
XOM,2,PSX|EQNR,EQNR,0.4278889536813299
XOM,2,SLB|KMI,SLB,0.3587770595308252
XOM,2,SLB|KMI,KMI,0.6412229404691747
XOM,2,SLB|DVN,SLB,0.5744693967851022
XOM,2,SLB|DVN,DVN,0.42553060321489783
XOM,2,SLB|BKR,SLB,0.5034412027102193
XOM,2,SLB|BKR,BKR,0.4965587972897807
XOM,2,SLB|OKE,SLB,0.39089019309031303
XOM,2,SLB|OKE,OKE,0.609109806909687
XOM,2,SLB|EQNR,SLB,0.49470099821934627
XOM,2,SLB|EQNR,EQNR,0.5052990017806537
XOM,2,KMI|DVN,KMI,0.686256563460578
XOM,2,KMI|DVN,DVN,0.31374343653942205
XOM,2,KMI|BKR,KMI,0.6743984436860557
XOM,2,KMI|BKR,BKR,0.3256015563139444
XOM,2,KMI|OKE,KMI,0.6126546480550102
XOM,2,KMI|OKE,OKE,0.38734535194498976
XOM,2,KMI|EQNR,KMI,0.6614500079993447
XOM,2,KMI|EQNR,EQNR,0.3385499920006553
XOM,2,DVN|BKR,DVN,0.43775786458998883
XOM,2,DVN|BKR,BKR,0.5622421354100112
XOM,2,DVN|OKE,DVN,0.32576228226052606
XOM,2,DVN|OKE,OKE,0.6742377177394739
XOM,2,DVN|EQNR,DVN,0.43056686083788004
XOM,2,DVN|EQNR,EQNR,0.56943313916212
XOM,2,BKR|OKE,BKR,0.37040428402099523
XOM,2,BKR|OKE,OKE,0.6295957159790047
XOM,2,BKR|EQNR,BKR,0.49185077063581173
XOM,2,BKR|EQNR,EQNR,0.5081492293641883
XOM,2,OKE|EQNR,OKE,0.60931371585815
XOM,2,OKE|EQNR,EQNR,0.39068628414185
XOM,3,COP|HAL|SU,COP,0.5776466992191283
XOM,3,COP|HAL|SU,HAL,0.17542961186990566
XOM,3,COP|HAL|SU,SU,0.24692368891096608
XOM,3,COP|HAL|EOG,COP,0.6451946152728011
XOM,3,COP|HAL|EOG,HAL,0.1978566540713612
XOM,3,COP|HAL|EOG,EOG,0.1569487306558377
XOM,3,COP|HAL|IMO,COP,0.5567844154539814
XOM,3,COP|HAL|IMO,HAL,0.17373861930752726
XOM,3,COP|HAL|IMO,IMO,0.26947696523849135
XOM,3,COP|HAL|OXY,COP,0.6953068624555567
XOM,3,COP|HAL|OXY,HAL,0.21333759761474716
XOM,3,COP|HAL|OXY,OXY,0.0913555399296961
XOM,3,COP|HAL|VLO,COP,0.5949855496002403
XOM,3,COP|HAL|VLO,HAL,0.1822307792759161
XOM,3,COP|HAL|VLO,VLO,0.22278367112384367
XOM,3,COP|HAL|CVE,COP,0.7022327130187817
XOM,3,COP|HAL|CVE,HAL,0.2014697855505103
XOM,3,COP|HAL|CVE,CVE,0.09629750143070814
XOM,3,COP|HAL|PSX,COP,0.5455432410268073
XOM,3,COP|HAL|PSX,HAL,0.16132727058719204
XOM,3,COP|HAL|PSX,PSX,0.2931294883860008
XOM,3,COP|HAL|SLB,COP,0.7157543727809194
XOM,3,COP|HAL|SLB,HAL,0.12575372634608545
XOM,3,COP|HAL|SLB,SLB,0.15849190087299525
XOM,3,COP|HAL|KMI,COP,0.45677104955622094
XOM,3,COP|HAL|KMI,HAL,0.14922352598812663
XOM,3,COP|HAL|KMI,KMI,0.3940054244556525
XOM,3,COP|HAL|DVN,COP,0.7555406076784472
XOM,3,COP|HAL|DVN,HAL,0.2300418849462961
XOM,3,COP|HAL|DVN,DVN,0.014417507375256721
XOM,3,COP|HAL|BKR,COP,0.6722308471554665
XOM,3,COP|HAL|BKR,HAL,0.08698302562066099
XOM,3,COP|HAL|BKR,BKR,0.2407861272238724
XOM,3,COP|HAL|OKE,COP,0.5228177698518227
XOM,3,COP|HAL|OKE,HAL,0.14405434109341891
XOM,3,COP|HAL|OKE,OKE,0.3331278890547583
XOM,3,COP|HAL|EQNR,COP,0.5829923558483096
XOM,3,COP|HAL|EQNR,HAL,0.18266572474859305
XOM,3,COP|HAL|EQNR,EQNR,0.23434191940309726
XOM,3,COP|SU|EOG,COP,0.5522871404313817
XOM,3,COP|SU|EOG,SU,0.2713455879951802
XOM,3,COP|SU|EOG,EOG,0.17636727157343807
XOM,3,COP|SU|IMO,COP,0.5896712510975014
XOM,3,COP|SU|IMO,SU,0.17673852453270453
XOM,3,COP|SU|IMO,IMO,0.23359022436979396
XOM,3,COP|SU|OXY,COP,0.6216774446076573
XOM,3,COP|SU|OXY,SU,0.28254862486197163
XOM,3,COP|SU|OXY,OXY,0.09577393053037095
XOM,3,COP|SU|VLO,COP,0.552490933983393
XOM,3,COP|SU|VLO,SU,0.2356835837364122
XOM,3,COP|SU|VLO,VLO,0.2118254822801948
XOM,3,COP|SU|CVE,COP,0.6758811552933751
XOM,3,COP|SU|CVE,SU,0.2741330888195315
XOM,3,COP|SU|CVE,CVE,0.04998575588709335
XOM,3,COP|SU|PSX,COP,0.5141128707830583
XOM,3,COP|SU|PSX,SU,0.2060995301737783
XOM,3,COP|SU|PSX,PSX,0.27978759904316336
XOM,3,COP|SU|SLB,COP,0.5747474923531587
XOM,3,COP|SU|SLB,SU,0.24300647872160552
XOM,3,COP|SU|SLB,SLB,0.1822460289252358
XOM,3,COP|SU|KMI,COP,0.4441459509548887
XOM,3,COP|SU|KMI,SU,0.17411474152792816
XOM,3,COP|SU|KMI,KMI,0.38173930751718327
XOM,3,COP|SU|DVN,COP,0.6720603576133802
XOM,3,COP|SU|DVN,SU,0.2936850303818712
XOM,3,COP|SU|DVN,DVN,0.03425461200474858
XOM,3,COP|SU|BKR,COP,0.5504784731973101
XOM,3,COP|SU|BKR,SU,0.21442413077253367
XOM,3,COP|SU|BKR,BKR,0.23509739603015622
XOM,3,COP|SU|OKE,COP,0.48135661332628454
XOM,3,COP|SU|OKE,SU,0.19561855498751904
XOM,3,COP|SU|OKE,OKE,0.3230248316861964
XOM,3,COP|SU|EQNR,COP,0.545511189836238
XOM,3,COP|SU|EQNR,SU,0.2325314218514929
XOM,3,COP|SU|EQNR,EQNR,0.2219573883122692
XOM,3,COP|EOG|IMO,COP,0.5568184742826066
XOM,3,COP|EOG|IMO,EOG,0.1585825584445588
XOM,3,COP|EOG|IMO,IMO,0.28459896727283474
XOM,3,COP|EOG|OXY,COP,0.7077827838320417
XOM,3,COP|EOG|OXY,EOG,0.20152579425253722
XOM,3,COP|EOG|OXY,OXY,0.09069142191542111
XOM,3,COP|EOG|VLO,COP,0.5653309556581415
XOM,3,COP|EOG|VLO,EOG,0.19446131986875828
XOM,3,COP|EOG|VLO,VLO,0.24020772447310032
XOM,3,COP|EOG|CVE,COP,0.6698925022260557
XOM,3,COP|EOG|CVE,EOG,0.20131453484127845
XOM,3,COP|EOG|CVE,CVE,0.12879296293266587
XOM,3,COP|EOG|PSX,COP,0.5257133541316237
XOM,3,COP|EOG|PSX,EOG,0.1636415884136728
XOM,3,COP|EOG|PSX,PSX,0.3106450574547036
XOM,3,COP|EOG|SLB,COP,0.620700353460394
XOM,3,COP|EOG|SLB,EOG,0.17161526966978172
XOM,3,COP|EOG|SLB,SLB,0.20768437686982422
XOM,3,COP|EOG|KMI,COP,0.48809656106334093
XOM,3,COP|EOG|KMI,EOG,0.10438682957457834
XOM,3,COP|EOG|KMI,KMI,0.40751660936208073
XOM,3,COP|EOG|DVN,COP,0.730027601609498
XOM,3,COP|EOG|DVN,EOG,0.22793090052710346
XOM,3,COP|EOG|DVN,DVN,0.04204149786339856
XOM,3,COP|EOG|BKR,COP,0.5969682127898852
XOM,3,COP|EOG|BKR,EOG,0.1446799055119945
XOM,3,COP|EOG|BKR,BKR,0.2583518816981204
XOM,3,COP|EOG|OKE,COP,0.5207066372717685
XOM,3,COP|EOG|OKE,EOG,0.12931474498481013
XOM,3,COP|EOG|OKE,OKE,0.3499786177434215
XOM,3,COP|EOG|EQNR,COP,0.5927741191155231
XOM,3,COP|EOG|EQNR,EOG,0.163238609378522
XOM,3,COP|EOG|EQNR,EQNR,0.2439872715059549
XOM,3,COP|IMO|OXY,COP,0.6095052320333093
XOM,3,COP|IMO|OXY,IMO,0.2962550778528595
XOM,3,COP|IMO|OXY,OXY,0.09423969011383121
XOM,3,COP|IMO|VLO,COP,0.5615075714026173
XOM,3,COP|IMO|VLO,IMO,0.24462036990814048
XOM,3,COP|IMO|VLO,VLO,0.19387205868924223
XOM,3,COP|IMO|CVE,COP,0.6627647435050867
XOM,3,COP|IMO|CVE,IMO,0.2914554489284619
XOM,3,COP|IMO|CVE,CVE,0.04577980756645141
XOM,3,COP|IMO|PSX,COP,0.5141664536263052
XOM,3,COP|IMO|PSX,IMO,0.22173868994771156
XOM,3,COP|IMO|PSX,PSX,0.26409485642598324
XOM,3,COP|IMO|SLB,COP,0.5447662574444858
XOM,3,COP|IMO|SLB,IMO,0.2698801678146346
XOM,3,COP|IMO|SLB,SLB,0.18535357474087952
XOM,3,COP|IMO|KMI,COP,0.46668273384129
XOM,3,COP|IMO|KMI,IMO,0.16827530080465328
XOM,3,COP|IMO|KMI,KMI,0.3650419653540568
XOM,3,COP|IMO|DVN,COP,0.6537149516954742
XOM,3,COP|IMO|DVN,IMO,0.3050599839758002
XOM,3,COP|IMO|DVN,DVN,0.041225064328725566
XOM,3,COP|IMO|BKR,COP,0.5555788378199019
XOM,3,COP|IMO|BKR,IMO,0.22508275384816998
XOM,3,COP|IMO|BKR,BKR,0.2193384083319282
XOM,3,COP|IMO|OKE,COP,0.49605260850250293
XOM,3,COP|IMO|OKE,IMO,0.19990419699081058
XOM,3,COP|IMO|OKE,OKE,0.30404319450668654
XOM,3,COP|IMO|EQNR,COP,0.5673314834224932
XOM,3,COP|IMO|EQNR,IMO,0.2345505715630892
XOM,3,COP|IMO|EQNR,EQNR,0.19811794501441776
XOM,3,COP|OXY|VLO,COP,0.6595235049552998
XOM,3,COP|OXY|VLO,OXY,0.09664085396445896
XOM,3,COP|OXY|VLO,VLO,0.24383564108024133
XOM,3,COP|OXY|CVE,COP,0.7613909526352797
XOM,3,COP|OXY|CVE,OXY,0.1014765548216165
XOM,3,COP|OXY|CVE,CVE,0.13713249254310383
XOM,3,COP|OXY|PSX,COP,0.5914416338132974
XOM,3,COP|OXY|PSX,OXY,0.09001689899412195
XOM,3,COP|OXY|PSX,PSX,0.31854146719258064
XOM,3,COP|OXY|SLB,COP,0.6762796861925539
XOM,3,COP|OXY|SLB,OXY,0.10212952904378665
XOM,3,COP|OXY|SLB,SLB,0.22159078476365954
XOM,3,COP|OXY|KMI,COP,0.5066777510280362
XOM,3,COP|OXY|KMI,OXY,0.0792569509427238
XOM,3,COP|OXY|KMI,KMI,0.4140652980292399
XOM,3,COP|OXY|DVN,COP,0.8444305358233339
XOM,3,COP|OXY|DVN,OXY,0.11676714996887526
XOM,3,COP|OXY|DVN,DVN,0.03880231420779092
XOM,3,COP|OXY|BKR,COP,0.6585188913113947
XOM,3,COP|OXY|BKR,OXY,0.0759431570186846
XOM,3,COP|OXY|BKR,BKR,0.2655379516699208
XOM,3,COP|OXY|OKE,COP,0.5690987118882247
XOM,3,COP|OXY|OKE,OXY,0.0732659597888358
XOM,3,COP|OXY|OKE,OKE,0.3576353283229396
XOM,3,COP|OXY|EQNR,COP,0.6603272121661292
XOM,3,COP|OXY|EQNR,OXY,0.08759627856111356
XOM,3,COP|OXY|EQNR,EQNR,0.25207650927275727
XOM,3,COP|VLO|CVE,COP,0.6488122749387891
XOM,3,COP|VLO|CVE,VLO,0.23762889810858115
XOM,3,COP|VLO|CVE,CVE,0.11355882695262975
XOM,3,COP|VLO|PSX,COP,0.6453729022550344
XOM,3,COP|VLO|PSX,VLO,0.09179473405977756
XOM,3,COP|VLO|PSX,PSX,0.262832363685188
XOM,3,COP|VLO|SLB,COP,0.6165609127576159
