episode_id,start_date,end_date,calendar_days,trading_days,mean_significant_stocks,max_significant_stocks,mean_pct_stocks_significant,max_pct_stocks_significant,mean_positive_stocks,mean_negative_stocks
1,2020-03-06,2021-03-23,383,264,13.037878787878787,23,0.36097461097461103,0.6388888888888888,1.1553030303030303,11.882575757575758
2,2024-04-12,2025-04-10,364,250,4.996,21,0.1314736842105263,0.5526315789473685,4.008,0.988
3,2026-04-08,2026-04-13,6,4,15.5,19,0.40789473684210525,0.5,0.0,15.5
4,2015-07-20,2016-01-20,185,128,7.7109375,13,0.2203125,0.37142857142857144,7.4921875,0.21875
5,2001-08-17,2004-01-21,888,607,5.591433278418451,11,0.22675558653318126,0.44,3.4909390444810544,2.100494233937397
6,1995-12-06,1998-12-30,1121,775,6.285161290322581,10,0.29581929898058934,0.5,1.9303225806451614,4.354838709677419
7,2008-09-30,2009-11-22,419,290,6.993103448275862,10,0.2578930009964493,0.38461538461538464,0.013793103448275862,6.979310344827586
8,2014-04-24,2014-12-16,237,165,5.636363636363637,10,0.16103896103896104,0.2857142857142857,1.0363636363636364,4.6
9,2007-11-19,2008-02-05,79,53,5.0754716981132075,9,0.195210449927431,0.34615384615384615,0.0,5.0754716981132075
10,2009-11-24,2010-01-21,59,39,6.487179487179487,9,0.23168498168498175,0.32142857142857145,0.0,6.487179487179487
11,1991-03-04,1995-05-08,1527,1058,5.465973534971645,8,0.3099736279614489,0.47058823529411764,2.9177693761814747,2.54820415879017
12,2016-01-22,2016-01-27,6,4,4.0,7,0.1142857142857143,0.2,4.0,0.0
13,1989-10-16,1990-12-11,422,293,3.8600682593856654,7,0.2541951080773606,0.4375,1.8805460750853242,1.9795221843003412
14,2004-01-30,2004-04-27,89,61,5.360655737704918,7,0.20617906683480453,0.2692307692307692,3.3278688524590163,2.0327868852459017
15,2018-11-07,2018-12-20,44,30,4.233333333333333,7,0.11894179894179895,0.2,2.6333333333333333,1.6
16,2018-05-11,2018-06-21,42,29,4.551724137931035,7,0.13004926108374382,0.2,4.551724137931035,0.0
17,2019-02-11,2019-07-09,149,103,4.631067961165049,7,0.13109107720758212,0.2,2.203883495145631,2.4271844660194173
18,2020-02-25,2020-03-04,9,7,4.714285714285714,7,0.13095238095238096,0.19444444444444445,4.714285714285714,0.0
19,2015-01-06,2015-07-08,184,127,4.929133858267717,7,0.14083239595050615,0.2,3.188976377952756,1.7401574803149606
20,2008-09-15,2008-09-28,14,10,4.5,6,0.17307692307692307,0.23076923076923078,0.0,4.5
21,2008-06-05,2008-07-23,49,34,4.470588235294118,6,0.17194570135746606,0.23076923076923078,0.0,4.470588235294118
22,2008-03-18,2008-06-03,78,54,5.185185185185185,6,0.19943019943019938,0.23076923076923078,0.018518518518518517,5.166666666666667
23,1995-06-19,1995-10-29,133,93,4.376344086021505,6,0.2188172043010752,0.3,0.8494623655913979,3.5268817204301075
24,1989-04-05,1989-07-27,114,80,4.65,6,0.31000000000000005,0.4,1.175,3.475
25,2000-06-02,2000-12-25,207,143,4.5524475524475525,6,0.2069294342021615,0.2727272727272727,0.8741258741258742,3.6783216783216783
26,2004-05-07,2004-06-07,32,21,3.857142857142857,6,0.14835164835164835,0.23076923076923078,3.857142857142857,0.0
27,2000-04-17,2000-05-15,29,20,4.25,6,0.19318181818181815,0.2727272727272727,0.8,3.45
