,SHEL,BP,TTE,EQNR,E,TS
SHEL,1.0,0.8819341797980861,0.5545442640806028,0.7442888954491217,0.8170595841960356,0.6654920829763573
BP,0.8819341797980861,1.0,0.5533196931295671,0.7588688064954808,0.8133047122373728,0.6674069809705192
TTE,0.5545442640806028,0.5533196931295671,1.0,0.4827384366342262,0.5198469922623855,0.4078311021366345
EQNR,0.7442888954491217,0.7588688064954808,0.4827384366342262,1.0,0.7550499237084177,0.6192719735911267
E,0.8170595841960356,0.8133047122373728,0.5198469922623855,0.7550499237084177,1.0,0.6856922747294713
TS,0.6654920829763573,0.6674069809705192,0.4078311021366345,0.6192719735911267,0.6856922747294713,1.0
