ticker,mean_rolling_acf,max_rolling_acf,min_rolling_acf,pct_strong_positive,pct_strong_negative,pct_everything_else,observations,threshold
TPL,0.033968719461791204,0.5927327012398954,-0.26639033735648754,0.25250501002004005,0.09577048834511127,0.6517245016348486,9481,0.12346839451634756
IMO,0.03780188768812658,0.36780459037406404,-0.23902843627259207,0.22403816871383617,0.010252766216627754,0.7657090650695361,9851,0.12346839451634756
KMI,0.0167991921345953,0.31276499329574,-0.24342442058431352,0.13691128148959475,0.06955093099671412,0.7935377875136911,3652,0.12346839451634756
TRGP,0.02192233488144019,0.3718429434140307,-0.25763699471515095,0.1292590589507842,0.02541914548404543,0.8453217955651704,3698,0.12346839451634756
DVN,0.02694120064011784,0.32255489685188987,-0.25628244524425614,0.1245099203991921,0.014375668290364739,0.8611144113104432,8417,0.12346839451634756
PSX,0.012626074117175761,0.2600757058738103,-0.18168865187411903,0.12235784459660613,0.010717475439118785,0.8669246799642751,3359,0.12346839451634756
CCJ,0.029917221384101543,0.2577649749380642,-0.2010853931450759,0.11867152693398136,0.002160118806534359,0.8791683542594843,7407,0.12346839451634756
BP,0.03271680300541728,0.2892475884521539,-0.2109439683553349,0.113187864035469,0.03581674345822829,0.8509953925063027,11503,0.12346839451634756
PBR,0.027548415928121666,0.24106760390671508,-0.25366002831060264,0.08722592945662536,0.08055290753098189,0.8322211630123928,6294,0.12346839451634756
VLO,0.026293596325799536,0.20303500210721764,-0.18579251420669723,0.0853869237064654,0.00918432299718105,0.9054287532963535,10997,0.12346839451634756
CNQ,0.03405902814871654,0.19893606889100168,-0.1477913437705754,0.07949857188194225,0.004125674389082831,0.916375753728975,6302,0.12346839451634756
PBA,0.01727831518090313,0.2929408828866896,-0.18084273814032187,0.07912322908313285,0.00855386260358193,0.9123229083132852,3741,0.12346839451634756
HAL,0.02496534025829864,0.29507359119801785,-0.26237810788315075,0.0771972528905503,0.033730331217943145,0.8890724158915065,11503,0.12346839451634756
WMB,0.00852843268544507,0.4427392102531981,-0.3245108121130356,0.07610474631751228,0.08056010183669758,0.8433351518457901,10998,0.12346839451634756
EOG,-0.00731586928590386,0.24809138651315663,-0.24619246034980816,0.0600929614873838,0.0693891102257636,0.8705179282868526,9036,0.12346839451634756
MPC,-0.0050083340892268765,0.20261412809839835,-0.23083373500436455,0.05026677899466442,0.04015725919685482,0.9095759618084808,3561,0.12346839451634756
CVX,-0.01108763565583781,0.28220025993339254,-0.30702220687882925,0.048161349213248716,0.08032687125097801,0.8715117795357733,11503,0.12346839451634756
LNG,-0.02636145922557256,0.19038069703058771,-0.3087737683501106,0.04620838080769718,0.1954677807317382,0.7583238384605646,7899,0.12346839451634756
FTI,-0.015579639753567933,0.26376287418184036,-0.2161034913596927,0.0435711936862874,0.07727721144360408,0.8791515948701085,6082,0.12346839451634756
TRP,-0.0217655414996752,0.2544214168679889,-0.3923980773696087,0.042923433874709975,0.16083104830204598,0.796245517823244,9482,0.12346839451634756
CVE,0.022898984822060233,0.2969940933095546,-0.1642896566183539,0.040373454453696694,0.0070653545293969215,0.9525611910169064,3963,0.12346839451634756
SHEL,-0.0020944132977850824,0.23762269020617802,-0.24516084189073087,0.037544821767559584,0.017717781058848345,0.9447373971735921,9482,0.12346839451634756
BKR,0.02597618948947035,0.20608089168404828,-0.17856854567448383,0.03277886497064579,0.007338551859099804,0.9598825831702544,2044,0.12346839451634756
WDS,-0.020407948979690786,0.17071949689067925,-0.39729426524943673,0.029128388976025096,0.0822316827246247,0.8886399282993502,4463,0.12346839451634756
EQT,-0.010307540180666534,0.21049854937430348,-0.31630761826279313,0.02594810379241517,0.09874986868368527,0.8753020275238995,9519,0.12346839451634756
SLB,-0.013356083321781476,0.2742024833245307,-0.303465133048012,0.02182214948172395,0.0629205310056374,0.9152573195126387,10998,0.12346839451634756
COP,-0.02698568240871412,0.22508202716316772,-0.20371323299789937,0.021731223858883434,0.11338425168212403,0.8648845244589926,10998,0.12346839451634756
OKE,-0.029962618952579612,0.4785374637274415,-0.33377030573115435,0.017699990111737368,0.15920102837931374,0.8230989815089489,10113,0.12346839451634756
OXY,-0.02517633992334297,0.4502830159805985,-0.30001945372953953,0.01745771958537916,0.09292598654300782,0.889616293871613,10998,0.12346839451634756
ENB,-0.03624914010216536,0.20257965779934844,-0.3810555606801764,0.01704800358905339,0.18965903992821892,0.7932929564827277,8916,0.12346839451634756
FANG,-0.002655986842549976,0.37543880277747765,-0.24814812434634861,0.005261528938409161,0.0015475085112968121,0.993190962550294,3231,0.12346839451634756
XOM,-0.04731852159774759,0.24227745098166187,-0.31212648538811044,0.005216030600712858,0.19394940450317308,0.800834564896114,11503,0.12346839451634756
E,-0.033150569172907415,0.3203758142636937,-0.24072002265815598,0.0014703916588691352,0.08528271621440983,0.913246892126721,7481,0.12346839451634756
TS,-0.04014167823442698,0.1655501331170399,-0.22563051385506164,0.0014020329477742728,0.10637924991237294,0.8922187171398528,5706,0.12346839451634756
SU,0.009974327409664568,0.18879809773618803,-0.1853617447370872,0.000751503006012024,0.0077655310621242485,0.9914829659318637,7984,0.12346839451634756
EQNR,-0.023735869546254007,0.15128975099296046,-0.24118638176852772,0.000547645125958379,0.13910186199342825,0.8603504928806134,1826,0.12346839451634756
TTE,-0.0995657097563397,0.08243368606458415,-0.3777648162500509,0.0,0.3458712900382016,0.6541287099617984,3403,0.12346839451634756
EXE,-0.0067243382301184745,0.11650309074391821,-0.18531381466737817,0.0,0.09586631486367635,0.9041336851363236,1137,0.12346839451634756
