target,n_stocks,stocks,validation_correlation,validation_r_squared,validation_tracking_error,test_correlation,test_r_squared,test_tracking_error,test_rmse,test_target_volatility,test_basket_volatility,test_volatility_reduction,test_target_final_wealth,test_basket_final_wealth,test_target_max_drawdown,test_basket_max_drawdown
CVX,2,COP|SU,0.8276921918413412,0.5335757981927415,0.010728698220209405,0.8236483112752268,0.5593871455539706,0.009569400501102002,0.009560110578582484,0.2290430498248491,0.26742245625398714,-0.16756416079198666,142.36332202095844,158.64291530681325,-0.20821596021767708,-0.21399813480671626
CVX,2,COP|HAL,0.827544788943666,0.4469582463075623,0.011662364747268637,0.8153083030514124,0.46757260011109447,0.010524208335849463,0.010509075996442633,0.2290430498248491,0.28834103818971174,-0.25889451092363736,142.36332202095844,154.0191415212907,-0.20821596021767708,-0.2158221996785573
CVX,2,COP|KMI,0.7468561469656194,0.5014269476033695,0.011092010128214213,0.7857337556715984,0.6025512673603588,0.009092737980852793,0.009079770936450524,0.2290430498248491,0.20757441377843014,0.09373188168266267,142.36332202095844,132.8599772481258,-0.20821596021767708,-0.144340791935887
CVX,2,COP|EOG,0.8233321460780856,0.4933029498222069,0.01117784060246255,0.8212940178544516,0.4865528737660093,0.010337873804061842,0.010320059419258601,0.2290430498248491,0.2873938096596778,-0.2547589192488049,142.36332202095844,147.5264680568449,-0.20821596021767708,-0.20647502060253153
CVX,2,COP|SLB,0.8361184944486921,0.5017089781446363,0.011076699894513098,0.7984388113464278,0.47515279378886943,0.010449368237769282,0.010433998716735119,0.2290430498248491,0.27506650276335853,-0.20093800258817685,142.36332202095844,153.3731587776963,-0.20821596021767708,-0.20838775895383266
CVX,2,COP|VLO,0.8310068118284056,0.5029041055242756,0.011070235679529847,0.8192305885067693,0.503997372152633,0.010138278400053007,0.01014323115542286,0.2290430498248491,0.2806414620577688,-0.2252782272694036,142.36332202095844,172.26013925801217,-0.20821596021767708,-0.1600007724771575
CVX,2,COP|OXY,0.8193204347887201,0.4425832317984896,0.011715785180407567,0.8137484067237147,0.4315396273736186,0.010876457202161679,0.010858864947063342,0.2290430498248491,0.29633333441848114,-0.29378880802141527,142.36332202095844,150.8271651347386,-0.20821596021767708,-0.22659502478801752
CVX,2,COP|BKR,0.8137414461277962,0.47459888012859197,0.011391674880485739,0.7664807302070198,0.437988495029629,0.01081224331376924,0.010797095361740368,0.2290430498248491,0.26398519995300895,-0.152557129128696,142.36332202095844,154.97198264899805,-0.20821596021767708,-0.2017210392905373
CVX,2,COP|E,0.8206284404436971,0.6227947726503047,0.00965313260556909,0.8088047547970312,0.5642973455302347,0.009513255504885782,0.009506692289796354,0.2290430498248491,0.253542878017235,-0.10696604071208937,142.36332202095844,161.2457770000821,-0.20821596021767708,-0.20600970680052721
CVX,2,COP|DVN,0.8130080760025363,0.4112069036413538,0.01204333112499904,0.811158455621059,0.42105372946442965,0.010975936422571183,0.010958559358870535,0.2290430498248491,0.2972174008766703,-0.2976486346298419,142.36332202095844,151.69824893743998,-0.20821596021767708,-0.2228782031005878
CVX,2,COP|CNQ,0.816183001450331,0.5044046930294166,0.011052519050212973,0.8089744262245526,0.4781991926055319,0.010416127097459444,0.01040367333842631,0.2290430498248491,0.28127211177252215,-0.22803163853962394,142.36332202095844,157.4324871158248,-0.20821596021767708,-0.220337635021006
CVX,2,COP|OKE,0.7947055659944277,0.48331194602533334,0.011294832935363755,0.8149470775083364,0.574131834146731,0.009415555232949218,0.009398789493180106,0.2290430498248491,0.25536715071069693,-0.11493079971637665,142.36332202095844,140.0548839660246,-0.20821596021767708,-0.1647613252967558
CVX,2,COP|PBA,0.7836944871008183,0.5888260125800284,0.010076983557818879,0.7715960578704086,0.5672752265969718,0.009490987914903378,0.009474149067157182,0.2290430498248491,0.21509784773160145,0.060884633277070166,142.36332202095844,145.09482541980412,-0.20821596021767708,-0.12601877571395992
