ticker,pct_strong_positive,pct_strong_negative,pct_everything_else
TPL,0.25250501002004005,0.09577048834511127,0.6517245016348486
IMO,0.22403816871383617,0.010252766216627754,0.7657090650695361
KMI,0.13691128148959475,0.06955093099671412,0.7935377875136911
TRGP,0.1292590589507842,0.02541914548404543,0.8453217955651704
DVN,0.1245099203991921,0.014375668290364739,0.8611144113104432
PSX,0.12235784459660613,0.010717475439118785,0.8669246799642751
CCJ,0.11867152693398136,0.002160118806534359,0.8791683542594843
BP,0.113187864035469,0.03581674345822829,0.8509953925063027
PBR,0.08722592945662536,0.08055290753098189,0.8322211630123928
VLO,0.0853869237064654,0.00918432299718105,0.9054287532963535
CNQ,0.07949857188194225,0.004125674389082831,0.916375753728975
PBA,0.07912322908313285,0.00855386260358193,0.9123229083132852
HAL,0.0771972528905503,0.033730331217943145,0.8890724158915065
WMB,0.07610474631751228,0.08056010183669758,0.8433351518457901
EOG,0.0600929614873838,0.0693891102257636,0.8705179282868526
MPC,0.05026677899466442,0.04015725919685482,0.9095759618084808
CVX,0.048161349213248716,0.08032687125097801,0.8715117795357733
LNG,0.04620838080769718,0.1954677807317382,0.7583238384605646
FTI,0.0435711936862874,0.07727721144360408,0.8791515948701085
TRP,0.042923433874709975,0.16083104830204598,0.796245517823244
CVE,0.040373454453696694,0.0070653545293969215,0.9525611910169064
SHEL,0.037544821767559584,0.017717781058848345,0.9447373971735921
BKR,0.03277886497064579,0.007338551859099804,0.9598825831702544
WDS,0.029128388976025096,0.0822316827246247,0.8886399282993502
EQT,0.02594810379241517,0.09874986868368527,0.8753020275238995
SLB,0.02182214948172395,0.0629205310056374,0.9152573195126387
COP,0.021731223858883434,0.11338425168212403,0.8648845244589926
OKE,0.017699990111737368,0.15920102837931374,0.8230989815089489
OXY,0.01745771958537916,0.09292598654300782,0.889616293871613
ENB,0.01704800358905339,0.18965903992821892,0.7932929564827277
FANG,0.005261528938409161,0.0015475085112968121,0.993190962550294
XOM,0.005216030600712858,0.19394940450317308,0.800834564896114
E,0.0014703916588691352,0.08528271621440983,0.913246892126721
TS,0.0014020329477742728,0.10637924991237294,0.8922187171398528
SU,0.000751503006012024,0.0077655310621242485,0.9914829659318637
EQNR,0.000547645125958379,0.13910186199342825,0.8603504928806134
TTE,0.0,0.3458712900382016,0.6541287099617984
EXE,0.0,0.09586631486367635,0.9041336851363236
