date,ticker_1,ticker_2,window,rolling_correlation
1982-01-04,COP,CVX,252,
1982-01-05,COP,CVX,252,
1982-01-06,COP,CVX,252,
1982-01-07,COP,CVX,252,
1982-01-08,COP,CVX,252,
1982-01-11,COP,CVX,252,
1982-01-12,COP,CVX,252,
1982-01-13,COP,CVX,252,
1982-01-14,COP,CVX,252,
1982-01-15,COP,CVX,252,
1982-01-18,COP,CVX,252,
1982-01-19,COP,CVX,252,
1982-01-20,COP,CVX,252,
1982-01-21,COP,CVX,252,
1982-01-22,COP,CVX,252,
1982-01-25,COP,CVX,252,
1982-01-26,COP,CVX,252,
1982-01-27,COP,CVX,252,
1982-01-28,COP,CVX,252,
1982-01-29,COP,CVX,252,
1982-02-01,COP,CVX,252,
1982-02-02,COP,CVX,252,
1982-02-03,COP,CVX,252,
1982-02-04,COP,CVX,252,
1982-02-05,COP,CVX,252,
1982-02-08,COP,CVX,252,
1982-02-09,COP,CVX,252,
1982-02-10,COP,CVX,252,
1982-02-11,COP,CVX,252,
1982-02-12,COP,CVX,252,
1982-02-16,COP,CVX,252,
1982-02-17,COP,CVX,252,
1982-02-18,COP,CVX,252,
1982-02-19,COP,CVX,252,
1982-02-22,COP,CVX,252,
1982-02-23,COP,CVX,252,
1982-02-24,COP,CVX,252,
1982-02-25,COP,CVX,252,
1982-02-26,COP,CVX,252,
1982-03-01,COP,CVX,252,
1982-03-02,COP,CVX,252,
1982-03-03,COP,CVX,252,
1982-03-04,COP,CVX,252,
1982-03-05,COP,CVX,252,
1982-03-08,COP,CVX,252,
1982-03-09,COP,CVX,252,
1982-03-10,COP,CVX,252,
1982-03-11,COP,CVX,252,
1982-03-12,COP,CVX,252,
1982-03-15,COP,CVX,252,
1982-03-16,COP,CVX,252,
1982-03-17,COP,CVX,252,
1982-03-18,COP,CVX,252,
1982-03-19,COP,CVX,252,
1982-03-22,COP,CVX,252,
1982-03-23,COP,CVX,252,
1982-03-24,COP,CVX,252,
1982-03-25,COP,CVX,252,
1982-03-26,COP,CVX,252,
1982-03-29,COP,CVX,252,
1982-03-30,COP,CVX,252,
1982-03-31,COP,CVX,252,
1982-04-01,COP,CVX,252,
1982-04-02,COP,CVX,252,
1982-04-05,COP,CVX,252,
1982-04-06,COP,CVX,252,
1982-04-07,COP,CVX,252,
1982-04-08,COP,CVX,252,
1982-04-12,COP,CVX,252,
1982-04-13,COP,CVX,252,
1982-04-14,COP,CVX,252,
1982-04-15,COP,CVX,252,
1982-04-16,COP,CVX,252,
1982-04-19,COP,CVX,252,
1982-04-20,COP,CVX,252,
1982-04-21,COP,CVX,252,
1982-04-22,COP,CVX,252,
1982-04-23,COP,CVX,252,
1982-04-26,COP,CVX,252,
1982-04-27,COP,CVX,252,
1982-04-28,COP,CVX,252,
1982-04-29,COP,CVX,252,
1982-04-30,COP,CVX,252,
1982-05-03,COP,CVX,252,
1982-05-04,COP,CVX,252,
1982-05-05,COP,CVX,252,
1982-05-06,COP,CVX,252,
1982-05-07,COP,CVX,252,
1982-05-10,COP,CVX,252,
1982-05-11,COP,CVX,252,
1982-05-12,COP,CVX,252,
1982-05-13,COP,CVX,252,
1982-05-14,COP,CVX,252,
1982-05-17,COP,CVX,252,
1982-05-18,COP,CVX,252,
1982-05-19,COP,CVX,252,
1982-05-20,COP,CVX,252,
