date,WDS,FTI,EOG,KMI,BKR,TRGP,EQT,HAL,TTE,SU,TRP,E,PBA,EQNR,IMO,TS,XOM,CVX,COP,WMB,SLB,VLO,PSX,MPC,OKE,LNG,OXY,FANG,TPL,DVN,EXE,SHEL,ENB,BP,CNQ,CCJ,CVE,PBR
1980-02-26,,,,,,,,6.3808727477,,,,,,,,,1.0804185165,4.5075181159,,,,,,,,,,,,,,,,3.9588431196,,,,
1980-02-27,,,,,,,,6.1529844353,,,,,,,,,1.07829845,4.4235270951,,,,,,,,,,,,,,,,3.8424065573,,,,
1980-02-28,,,,,,,,6.1681769895,,,,,,,,,1.066067297,4.4582433837,,,,,,,,,,,,,,,,3.905282301,,,,
1980-02-29,,,,,,,,6.3201025311,,,,,,,,,1.066067297,4.451524102,,,,,,,,,,,,,,,,3.9491400728,,,,
1980-03-03,,,,,,,,6.2441397603,,,,,,,,,1.0518791595,4.3882508663,,,,,,,,,,,,,,,,3.9491400728,,,,
1980-03-04,,,,,,,,6.2441397603,,,,,,,,,1.061990246,4.5562329079,,,,,,,,,,,,,,,,3.9103278853,,,,
1980-03-05,,,,,,,,6.2441397603,,,,,,,,,1.0538361439,4.5355151228,,,,,,,,,,,,,,,,3.8470640198,,,,
1980-03-06,,,,,,,,6.0770216645,,,,,,,,,1.02953692,4.3815315847,,,,,,,,,,,,,,,,3.725969995,,,,
1980-03-07,,,,,,,,6.0466365562,,,,,,,,,0.9928434609,4.2695435569,,,,,,,,,,,,,,,,3.6386425732,,,,
1980-03-10,,,,,,,,6.0089590219,,,,,,,,,0.9887664099,4.24154655,,,,,,,,,,,,,,,,3.6289395263,,,,
1980-03-11,,,,,,,,6.1377918811,,,,,,,,,0.9969205119,4.3322568525,,,,,,,,,,,,,,,,3.6335969888,,,,
1980-03-12,,,,,,,,5.9554812312,,,,,,,,,1.0029545474,4.3322568525,,,,,,,,,,,,,,,,3.5901273389,,,,
1980-03-13,,,,,,,,5.8947110146,,,,,,,,,0.9907233944,4.1715540327,,,,,,,,,,,,,,,,3.5222060109,,,,
1980-03-14,,,,,,,,5.8570334802,,,,,,,,,0.9784922414,4.1155600188,,,,,,,,,,,,,,,,3.4833938234,,,,
1980-03-17,,,,,,,,5.7731705813,,,,,,,,,0.9398417978,3.9682957624,,,,,,,,,,,,,,,,3.3669572611,,,,
1980-03-18,,,,,,,,5.7427854729,,,,,,,,,0.9621840373,4.0735645084,,,,,,,,,,,,,,,,3.4833938234,,,,
1980-03-19,,,,,,,,5.7051079386,,,,,,,,,0.9602270529,4.059566005,,,,,,,,,,,,,,,,3.478348239,,,,
1980-03-20,,,,,,,,5.644337722,,,,,,,,,0.9439188488,3.9682957624,,,,,,,,,,,,,,,,3.4348785891,,,,
1980-03-21,,,,,,,,5.6212450397,,,,,,,,,0.9540299353,3.898303245,,,,,,,,,,,,,,,,3.4201299579,,,,
1980-03-24,,,,,,,,5.3404866388,,,,,,,,,0.9295676293,3.7163227,,,,,,,,,,,,,,,,3.1825993707,,,,
1980-03-25,,,,,,,,5.462027072,,,,,,,,,0.9113024408,3.7935944391,,,,,,,,,,,,,,,,3.2893328862,,,,
1980-03-26,,,,,,,,5.4924121804,,,,,,,,,0.9132594253,3.7443197069,,,,,,,,,,,,,,,,3.2602237456,,,,
1980-03-27,,,,,,,,5.4085492814,,,,,,,,,0.9031483388,3.5976153906,,,,,,,,,,,,,,,,3.2796298393,,,,
1980-03-28,,,,,,,,5.4997046064,,,,,,,,,0.9295676293,3.6463301827,,,,,,,,,,,,,,,,3.2943784705,,,,
