date,ticker_1,ticker_2,window,rolling_correlation
1982-01-04,COP,XOM,252,
1982-01-05,COP,XOM,252,
1982-01-06,COP,XOM,252,
1982-01-07,COP,XOM,252,
1982-01-08,COP,XOM,252,
1982-01-11,COP,XOM,252,
1982-01-12,COP,XOM,252,
1982-01-13,COP,XOM,252,
1982-01-14,COP,XOM,252,
1982-01-15,COP,XOM,252,
1982-01-18,COP,XOM,252,
1982-01-19,COP,XOM,252,
1982-01-20,COP,XOM,252,
1982-01-21,COP,XOM,252,
1982-01-22,COP,XOM,252,
1982-01-25,COP,XOM,252,
1982-01-26,COP,XOM,252,
1982-01-27,COP,XOM,252,
1982-01-28,COP,XOM,252,
1982-01-29,COP,XOM,252,
1982-02-01,COP,XOM,252,
1982-02-02,COP,XOM,252,
1982-02-03,COP,XOM,252,
1982-02-04,COP,XOM,252,
1982-02-05,COP,XOM,252,
1982-02-08,COP,XOM,252,
1982-02-09,COP,XOM,252,
1982-02-10,COP,XOM,252,
1982-02-11,COP,XOM,252,
1982-02-12,COP,XOM,252,
1982-02-16,COP,XOM,252,
1982-02-17,COP,XOM,252,
1982-02-18,COP,XOM,252,
1982-02-19,COP,XOM,252,
1982-02-22,COP,XOM,252,
1982-02-23,COP,XOM,252,
1982-02-24,COP,XOM,252,
1982-02-25,COP,XOM,252,
1982-02-26,COP,XOM,252,
1982-03-01,COP,XOM,252,
1982-03-02,COP,XOM,252,
1982-03-03,COP,XOM,252,
1982-03-04,COP,XOM,252,
1982-03-05,COP,XOM,252,
1982-03-08,COP,XOM,252,
1982-03-09,COP,XOM,252,
1982-03-10,COP,XOM,252,
1982-03-11,COP,XOM,252,
1982-03-12,COP,XOM,252,
1982-03-15,COP,XOM,252,
1982-03-16,COP,XOM,252,
1982-03-17,COP,XOM,252,
1982-03-18,COP,XOM,252,
1982-03-19,COP,XOM,252,
1982-03-22,COP,XOM,252,
1982-03-23,COP,XOM,252,
1982-03-24,COP,XOM,252,
1982-03-25,COP,XOM,252,
1982-03-26,COP,XOM,252,
1982-03-29,COP,XOM,252,
1982-03-30,COP,XOM,252,
1982-03-31,COP,XOM,252,
1982-04-01,COP,XOM,252,
1982-04-02,COP,XOM,252,
1982-04-05,COP,XOM,252,
1982-04-06,COP,XOM,252,
1982-04-07,COP,XOM,252,
1982-04-08,COP,XOM,252,
1982-04-12,COP,XOM,252,
