,target_exposure
PC1,0.19555322120742052
PC2,-0.11640073512226168
PC3,-0.010717351398178147
PC4,-0.06462768684239073
PC5,-0.05494689898962596
PC6,-0.011167802793282255
PC7,-0.026369398587526578
PC8,0.014056093112993022
PC9,0.0009936605012594718
PC10,-0.022378469374103434
PC11,-0.00720060364328593
PC12,0.043486407230738724
PC13,-0.02977367811527204
PC14,-0.059953339502877255
PC15,0.006911282220738935
PC16,0.011579087566269493
