target,n_stocks,stocks,validation_correlation,validation_r_squared,validation_tracking_error,test_correlation,test_r_squared,test_tracking_error,test_rmse,test_target_volatility,test_basket_volatility,test_volatility_reduction,test_target_final_wealth,test_basket_final_wealth,test_target_max_drawdown,test_basket_max_drawdown
XOM,2,COP|EOG,0.8379109704509584,0.5311565217141785,0.010237257420832872,0.8099847271656645,0.5626772781154783,0.010366502894636578,0.010350710744642758,0.24891549641880834,0.27759022751917284,-0.11519865782931538,151.76733944897228,141.82559458488794,-0.20133304516380612,-0.1815839839457838
XOM,2,COP|DVN,0.8158139597588455,0.34567328490877625,0.012078587932377153,0.8012622455430048,0.4882444084236406,0.011217161240487336,0.011196968314872468,0.24891549641880834,0.29705726390634374,-0.19340606824468387,151.76733944897228,151.7706997640779,-0.20133304516380612,-0.22285122729469298
XOM,2,COP|HAL,0.8255613654396926,0.3468680808219198,0.012048271821549479,0.7872978449503566,0.4873967466259892,0.011225981736490684,0.011206237696019972,0.24891549641880834,0.2865425766619354,-0.15116407288607814,151.76733944897228,156.13506519980453,-0.20133304516380612,-0.20981667102869317
XOM,2,COP|CNQ,0.8289822229306486,0.4726856938438302,0.01084529366055385,0.8102472118454097,0.5498151246728327,0.010520191021160776,0.010501820743592514,0.24891549641880834,0.28296713721643374,-0.1368000035655974,151.76733944897228,156.4461918577801,-0.20133304516380612,-0.22076633370475185
XOM,2,COP|FANG,0.8102980735527036,0.3367261624762533,0.012163371757482406,0.7969529392386429,0.4758117273738951,0.011352598003998769,0.011332162699599427,0.24891549641880834,0.2977289949716503,-0.19610469920567608,151.76733944897228,151.5271464711084,-0.20133304516380612,-0.22294195758336843
XOM,2,COP|CVE,0.8256547349293336,0.3895026194144444,0.01166314097248619,0.8130857376248728,0.5298018989492985,0.010748147897690189,0.010732714734653126,0.24891549641880834,0.29246937247636506,-0.17497454631862674,151.76733944897228,164.50416325443945,-0.20133304516380612,-0.19868834403807256
XOM,2,COP|SU,0.8332961724254543,0.482942018084898,0.01074637470109821,0.8156964524007495,0.588670309273386,0.01005565603327764,0.010038392683167982,0.24891549641880834,0.2719408377119587,-0.09250264296285304,151.76733944897228,157.3418857612526,-0.20133304516380612,-0.21561058118553345
XOM,2,COP|TRGP,0.7926295044456226,0.37447426292858443,0.01183220576714707,0.7997773578357058,0.5617286179079971,0.010379108850641982,0.010361931277624567,0.24891549641880834,0.26850064668426454,-0.07868192437687194,151.76733944897228,159.4086428809703,-0.20133304516380612,-0.15893498347547652
XOM,2,COP|PSX,0.8269962912727712,0.43136465904984456,0.011264774529003641,0.8071931300984011,0.5580484775665349,0.010420810395779528,0.010405344612690898,0.24891549641880834,0.2769267452054695,-0.11253316563116411,151.76733944897228,163.22416003527033,-0.20133304516380612,-0.18830855952745473
XOM,2,COP|WMB,0.7906810605717803,0.4841362268082131,0.010744618456635508,0.7899508075234619,0.5871591009881683,0.010073265707370419,0.010056816096903618,0.24891549641880834,0.24433253457123152,0.018411717685369977,151.76733944897228,144.19777180338252,-0.20133304516380612,-0.17113441191414236
XOM,2,COP|KMI,0.8034617301606795,0.5171506077069267,0.010395112016692715,0.8041582370619471,0.6159349460597818,0.009714223277241259,0.009699995822368357,0.24891549641880834,0.2436225745509767,0.0212639307073359,151.76733944897228,141.52029031934214,-0.20133304516380612,-0.18304025225939047
XOM,2,COP|OKE,0.8129295438652635,0.4352484928039574,0.011230222464637087,0.8095806200316293,0.5773028091450264,0.010193343356513876,0.010176157773724255,0.24891549641880834,0.27104494692538716,-0.08890346653767711,151.76733944897228,145.40981387231608,-0.20133304516380612,-0.19301348812601515
XOM,2,COP|MPC,0.8234990197677164,0.4290076836396204,0.011290597940061976,0.8043819289269531,0.5469472598743741,0.010550699760720771,0.01053521812111869,0.24891549641880834,0.2788509032786754,-0.12026333149423452,151.76733944897228,163.6878450748498,-0.20133304516380612,-0.17049456021892173
XOM,2,COP|SLB,0.8259517955053993,0.40362010020802075,0.0115307845118163,0.8009850744029249,0.5316259201334816,0.010731175005521175,0.010711877005095613,0.24891549641880834,0.2819145435641283,-0.1325712847134195,151.76733944897228,152.64456345488972,-0.20133304516380612,-0.21414330537058424
XOM,2,EOG|DVN,0.8060407863291162,0.48568392916059744,0.010730364125482294,0.7593731176625694,0.44745088457297577,0.011644688433953419,0.011634684071816205,0.24891549641880834,0.2781288054849971,-0.11736235584560162,151.76733944897228,131.89436458072785,-0.20133304516380612,-0.18511210181133675
XOM,2,EOG|HAL,0.8251546840488223,0.4704175009895072,0.01087584190650309,0.7793189460004579,0.5219989630778945,0.010837994556959198,0.010821402985398179,0.24891549641880834,0.26658994650843437,-0.07100582464294702,151.76733944897228,141.52572175336152,-0.20133304516380612,-0.14780966345135194
XOM,2,EOG|CNQ,0.8287540668260086,0.5735767424079243,0.009769462095198184,0.7763096508353527,0.5074653166095292,0.011002324155242998,0.010984683799658983,0.24891549641880834,0.26995526095652755,-0.08452573198704805,151.76733944897228,142.83795920477408,-0.20133304516380612,-0.15881707591240224
XOM,2,EOG|FANG,0.8060407863291162,0.48568392916059744,0.010730364125482294,0.7593731176625694,0.44745088457297577,0.011644688433953419,0.011634684071816205,0.24891549641880834,0.2781288054849971,-0.11736235584560162,151.76733944897228,131.89436458072785,-0.20133304516380612,-0.18511210181133675
XOM,2,EOG|CVE,0.8283867177062981,0.5113103573593555,0.010454679427150197,0.7757888533391654,0.47316589885539084,0.011381003556065812,0.01136072611985986,0.24891549641880834,0.2823908981639217,-0.13448500485799375,151.76733944897228,154.71297931955024,-0.20133304516380612,-0.14580793245907964
XOM,2,EOG|SU,0.8363953620366619,0.5947343151833038,0.009525084627287,0.7809286283606208,0.5492915818329891,0.010525119986167692,0.010507925519391736,0.24891549641880834,0.2555635835662518,-0.026708209183802012,151.76733944897228,143.88248720939686,-0.20133304516380612,-0.15072290849583203
XOM,2,EOG|TRGP,0.7897143939160225,0.47204524816754045,0.010867662944210828,0.771767681396407,0.5319918897741323,0.010725105740422354,0.010707691261238236,0.24891549641880834,0.25481387406427924,-0.02369630549456314,151.76733944897228,143.50683313951808,-0.20133304516380612,-0.1425012239070892
XOM,2,EOG|PSX,0.8350506056176744,0.5672574858253138,0.009841975145661526,0.7764671779421054,0.5277782082316123,0.010775036630545196,0.010755786260658538,0.24891549641880834,0.2614930886793617,-0.05052956702780431,151.76733944897228,149.41600315969106,-0.20133304516380612,-0.14489409743176462
XOM,2,EOG|WMB,0.7929621608718224,0.5527585231006339,0.010002935288898965,0.7615465835858243,0.5432084967012775,0.01058359148490174,0.010578599115250217,0.24891549641880834,0.2364806673159336,0.04995602636949825,151.76733944897228,130.42201805447692,-0.20133304516380612,-0.14196655108375134
XOM,2,EOG|KMI,0.802468753530031,0.569077098359258,0.00981893299674321,0.7706899575665964,0.5568046182481416,0.010421732679109282,0.010419977089584734,0.24891549641880834,0.23887642173560789,0.0403312563003686,151.76733944897228,128.6274787823622,-0.20133304516380612,-0.15081635854984032
