,target_exposure
PC1,0.18927890938597564
PC2,-0.07021152740330411
PC3,-0.051575211301146354
PC4,-0.057214331388720896
PC5,-0.03369053365045392
PC6,0.015316091419523926
PC7,-0.038351590390676885
PC8,-0.03459331286655802
PC9,-0.020824532870105203
PC10,0.005820455174543503
PC11,0.022704215200363784
PC12,0.06471275095454963
PC13,0.002589649723766213
PC14,-0.05797780581310845
PC15,0.003751036946627954
PC16,-0.033046012504737
