ticker_1,ticker_2,start_date,end_date,observations,window,full_period_correlation,mean_rolling_correlation,median_rolling_correlation,min_rolling_correlation,max_rolling_correlation,rolling_correlation_std
TTE,BP,2007-07-16,2026-08-24,4718,252,0.29494706364901385,0.35043150319124705,0.37735859024718577,-0.27715438174381457,0.7549777188712522,0.20906461573294452
TTE,CVX,2007-07-16,2026-08-24,4718,252,0.24825133516391398,0.3156574664979442,0.33079100136182427,-0.2574669853738952,0.7199018938930932,0.16727720795885503
TTE,E,2007-07-16,2026-08-24,4718,252,0.30022687455247177,0.39023253748430464,0.408103614139069,-0.23632658417803162,0.754051867532086,0.18363518482431268
TTE,EQNR,2018-05-17,2026-08-24,2066,252,0.48273843663422455,0.44776987398921153,0.45874204975152977,0.18051338312801363,0.6767859527594696,0.14150177520159782
TTE,SHEL,2007-07-16,2026-08-24,4718,252,0.3127207894965011,0.3862384397213719,0.39456751070936047,-0.2807645772281932,0.7900645478666232,0.1961028826623987
TTE,TS,2007-07-16,2026-08-24,4718,252,0.21076417152744675,0.2936645448490525,0.3166567663991604,-0.23465200823742843,0.6478522972962346,0.15851912762162032
TTE,WDS,2007-07-16,2026-08-24,4716,252,0.21681636167694177,0.275244015548835,0.2779275330954711,-0.10048144052916963,0.6744820844792512,0.15118905035303476
TTE,XOM,2007-07-16,2026-08-24,4718,252,0.23480508647513287,0.30092503630035383,0.31919655478332987,-0.27956485440914697,0.6386265273797782,0.17094320002952862
TS,BP,2002-12-17,2026-08-24,5958,252,0.6223718809006964,0.5906425313589639,0.6255587874954791,0.05838583151978913,0.829399141300758,0.15076223829111227
TS,CVX,2002-12-17,2026-08-24,5958,252,0.6310346028262594,0.5914614737295953,0.6051652377786914,0.12642429658517246,0.8071079734411095,0.12483598509481249
TS,E,2002-12-17,2026-08-24,5958,252,0.6689096170919627,0.6287539607919282,0.6564403906376369,0.060026214307828195,0.8610920869943065,0.14066485260195732
TS,EQNR,2018-05-17,2026-08-24,2078,252,0.6195656398115384,0.5923418626010567,0.6360368913597851,0.270706665351071,0.8704034462634113,0.13608394398180867
TS,SHEL,2002-12-17,2026-08-24,5958,252,0.6375687597869503,0.5975802775913184,0.6334225011257948,0.0747663253385532,0.8171585977032102,0.14980804827395183
TS,WDS,2007-07-16,2026-08-24,4806,252,0.5819029279633747,0.5203061427219488,0.5258203101892222,0.24823015920751612,0.7594815626495925,0.11986128611562805
TS,XOM,2002-12-17,2026-08-24,5958,252,0.6181524111816448,0.57865018318851,0.5915156181675962,0.02690905261109077,0.8006391436711878,0.13747443903406548
