ticker,lag,autocorrelation,observations,approx_95_threshold,significant
WDS,1,-0.07071294977306682,4806,0.028272498397317145,True
WDS,2,0.01404728478140033,4806,0.028272498397317145,False
WDS,3,0.011496515131806648,4806,0.028272498397317145,False
WDS,4,0.010313026570440512,4806,0.028272498397317145,False
WDS,5,-0.02720436035684614,4806,0.028272498397317145,False
WDS,6,-0.044940212676453255,4806,0.028272498397317145,True
WDS,7,0.05786808448368808,4806,0.028272498397317145,True
WDS,8,-0.025952893278954926,4806,0.028272498397317145,False
WDS,9,0.02550983197647777,4806,0.028272498397317145,False
WDS,10,-0.008332612242649494,4806,0.028272498397317145,False
WDS,11,-0.012718739673463068,4806,0.028272498397317145,False
WDS,12,0.0070872901033316605,4806,0.028272498397317145,False
WDS,13,0.005153624297240079,4806,0.028272498397317145,False
WDS,14,-0.023655988143637306,4806,0.028272498397317145,False
WDS,15,-0.020485038702058506,4806,0.028272498397317145,False
WDS,16,0.017078964136046648,4806,0.028272498397317145,False
WDS,17,-0.016559101055148687,4806,0.028272498397317145,False
WDS,18,-0.06321614080130983,4806,0.028272498397317145,True
WDS,19,0.0673444522123257,4806,0.028272498397317145,True
WDS,20,0.02232878698199144,4806,0.028272498397317145,False
FTI,1,-0.037977670784007364,6334,0.024627313667256213,True
FTI,2,0.03117365370918415,6334,0.024627313667256213,True
FTI,3,-8.011033970235166e-05,6334,0.024627313667256213,False
FTI,4,-0.02108058042403276,6334,0.024627313667256213,False
FTI,5,-0.010247281869268293,6334,0.024627313667256213,False
FTI,6,-0.014137147862367843,6334,0.024627313667256213,False
FTI,7,0.020960175480254115,6334,0.024627313667256213,False
FTI,8,-0.021783114027925644,6334,0.024627313667256213,False
FTI,9,-0.0016890874251149757,6334,0.024627313667256213,False
FTI,10,0.011400372449219872,6334,0.024627313667256213,False
FTI,11,-0.01710727367259107,6334,0.024627313667256213,False
FTI,12,-0.014770528225829294,6334,0.024627313667256213,False
FTI,13,0.0037873222438286895,6334,0.024627313667256213,False
FTI,14,0.009283130132893867,6334,0.024627313667256213,False
FTI,15,-0.01945655791814248,6334,0.024627313667256213,False
FTI,16,0.010319784957648705,6334,0.024627313667256213,False
FTI,17,0.017746226082767883,6334,0.024627313667256213,False
FTI,18,-0.020305164392527626,6334,0.024627313667256213,False
FTI,19,-0.03152331220716749,6334,0.024627313667256213,True
FTI,20,0.03199519307873001,6334,0.024627313667256213,True
EOG,1,-0.017016430695633415,9288,0.020337378341246548,False
EOG,2,-0.002926225586320136,9288,0.020337378341246548,False
EOG,3,0.0025106816246028758,9288,0.020337378341246548,False
EOG,4,-0.021308589123957958,9288,0.020337378341246548,True
EOG,5,-0.02158417792894492,9288,0.020337378341246548,True
EOG,6,-0.0024311660619758114,9288,0.020337378341246548,False
EOG,7,0.0064855029943277215,9288,0.020337378341246548,False
EOG,8,-0.022870514818358802,9288,0.020337378341246548,True
EOG,9,-0.006869084131692665,9288,0.020337378341246548,False
EOG,10,0.02202630610890877,9288,0.020337378341246548,True
EOG,11,-0.011833642068505186,9288,0.020337378341246548,False
EOG,12,-0.008587903805831427,9288,0.020337378341246548,False
EOG,13,0.010442371490835108,9288,0.020337378341246548,False
EOG,14,0.005247169576476665,9288,0.020337378341246548,False
EOG,15,-0.00808195916246205,9288,0.020337378341246548,False
EOG,16,-0.01094816215553308,9288,0.020337378341246548,False
EOG,17,0.011100072328534178,9288,0.020337378341246548,False
EOG,18,-0.030721090755837163,9288,0.020337378341246548,True
EOG,19,-0.028280317731220687,9288,0.020337378341246548,True
EOG,20,0.024121511230814303,9288,0.020337378341246548,True
KMI,1,-0.01390364279156825,3904,0.03136903558355952,False
KMI,2,0.03925361674552152,3904,0.03136903558355952,True
KMI,3,-0.007453325808436418,3904,0.03136903558355952,False
KMI,4,-0.019214689840700534,3904,0.03136903558355952,False
KMI,5,0.00981350831403785,3904,0.03136903558355952,False
KMI,6,-0.0818811413498623,3904,0.03136903558355952,True
KMI,7,0.03919399627808713,3904,0.03136903558355952,True
KMI,8,-0.013123578250154722,3904,0.03136903558355952,False
KMI,9,0.008611012513006621,3904,0.03136903558355952,False
KMI,10,0.035585112291024366,3904,0.03136903558355952,True
KMI,11,-0.04764517455762062,3904,0.03136903558355952,True
KMI,12,0.004298534896505984,3904,0.03136903558355952,False
KMI,13,-0.011153966970521447,3904,0.03136903558355952,False
KMI,14,0.04340360413074743,3904,0.03136903558355952,True
KMI,15,-0.0236632292331692,3904,0.03136903558355952,False
KMI,16,-0.003427414388716463,3904,0.03136903558355952,False
KMI,17,0.03665417269709861,3904,0.03136903558355952,True
KMI,18,0.023994630082311945,3904,0.03136903558355952,False
KMI,19,0.009662971348997986,3904,0.03136903558355952,False
KMI,20,0.006936263395466143,3904,0.03136903558355952,False
BKR,1,0.001958319224736862,2296,0.04090440968535443,False
BKR,2,0.03588540730406214,2296,0.04090440968535443,False
BKR,3,-0.009662483444757081,2296,0.04090440968535443,False
BKR,4,-0.027257820125008374,2296,0.04090440968535443,False
BKR,5,-0.02059554376839254,2296,0.04090440968535443,False
BKR,6,-0.01633761161519594,2296,0.04090440968535443,False
BKR,7,0.08767412570565246,2296,0.04090440968535443,True
BKR,8,-0.012201418409954002,2296,0.04090440968535443,False
BKR,9,0.027639829552014005,2296,0.04090440968535443,False
BKR,10,0.04873495993750069,2296,0.04090440968535443,True
BKR,11,-0.004256584700339834,2296,0.04090440968535443,False
BKR,12,0.03769049813238191,2296,0.04090440968535443,False
BKR,13,-0.009076086939229169,2296,0.04090440968535443,False
BKR,14,0.013570194433720017,2296,0.04090440968535443,False
BKR,15,-0.00040708473976658024,2296,0.04090440968535443,False
BKR,16,0.025366061798003697,2296,0.04090440968535443,False
BKR,17,0.009093914305660106,2296,0.04090440968535443,False
BKR,18,-0.04652035291781527,2296,0.04090440968535443,True
BKR,19,-0.015349611345558721,2296,0.04090440968535443,False
BKR,20,-0.01539232663813233,2296,0.04090440968535443,False
TRGP,1,0.06123364079082398,3950,0.031185845539688617,True
TRGP,2,0.0037008868261364223,3950,0.031185845539688617,False
TRGP,3,0.01283644858140258,3950,0.031185845539688617,False
TRGP,4,-0.01414045052218519,3950,0.031185845539688617,False
TRGP,5,0.0042173450784836666,3950,0.031185845539688617,False
TRGP,6,0.023386431831024655,3950,0.031185845539688617,False
TRGP,7,0.14252361341228756,3950,0.031185845539688617,True
TRGP,8,-0.02183762204105478,3950,0.031185845539688617,False
TRGP,9,-0.010492151918336088,3950,0.031185845539688617,False
TRGP,10,0.04832807491234014,3950,0.031185845539688617,True
TRGP,11,-0.019904172549629427,3950,0.031185845539688617,False
TRGP,12,0.0037796353337604333,3950,0.031185845539688617,False
TRGP,13,0.005625157205778545,3950,0.031185845539688617,False
TRGP,14,0.049876692334913715,3950,0.031185845539688617,True
TRGP,15,-0.013551625720648998,3950,0.031185845539688617,False
TRGP,16,0.007795245135141592,3950,0.031185845539688617,False
TRGP,17,0.03630561370604031,3950,0.031185845539688617,True
TRGP,18,-0.027397762690800704,3950,0.031185845539688617,False
TRGP,19,0.0010985609371302698,3950,0.031185845539688617,False
TRGP,20,0.031327046412490074,3950,0.031185845539688617,True
EQT,1,-0.001603376814005768,9771,0.01982834947344484,False
EQT,2,-0.008764545243269226,9771,0.01982834947344484,False
EQT,3,0.011703207530638367,9771,0.01982834947344484,False
EQT,4,-0.011671980613516287,9771,0.01982834947344484,False
EQT,5,-0.01891700985341305,9771,0.01982834947344484,False
EQT,6,-0.008032437974023277,9771,0.01982834947344484,False
EQT,7,-0.013930326606882391,9771,0.01982834947344484,False
EQT,8,0.0159932383141156,9771,0.01982834947344484,False
EQT,9,0.008166018529251725,9771,0.01982834947344484,False
EQT,10,-0.020161648714278346,9771,0.01982834947344484,True
EQT,11,-0.010334191714569473,9771,0.01982834947344484,False
EQT,12,0.0021866928163741524,9771,0.01982834947344484,False
EQT,13,-0.004306113653319165,9771,0.01982834947344484,False
EQT,14,0.0024800282101892514,9771,0.01982834947344484,False
EQT,15,-0.021608882909977405,9771,0.01982834947344484,True
EQT,16,0.004435700939006188,9771,0.01982834947344484,False
EQT,17,-0.001740371628791878,9771,0.01982834947344484,False
EQT,18,0.005190154481161129,9771,0.01982834947344484,False
EQT,19,-0.005184024977706762,9771,0.01982834947344484,False
EQT,20,-0.0007085491715845529,9771,0.01982834947344484,False
HAL,1,0.020418731851523708,11755,0.018077765753324482,True
HAL,2,-0.010714930421107506,11755,0.018077765753324482,False
HAL,3,-0.007245164623231531,11755,0.018077765753324482,False
HAL,4,-0.016417833891507593,11755,0.018077765753324482,False
HAL,5,-0.005206746025627705,11755,0.018077765753324482,False
HAL,6,-0.005910220799441926,11755,0.018077765753324482,False
HAL,7,0.017564846921845914,11755,0.018077765753324482,False
HAL,8,-0.0010006916584028918,11755,0.018077765753324482,False
HAL,9,0.01041739237158006,11755,0.018077765753324482,False
HAL,10,0.0025073012179226356,11755,0.018077765753324482,False
HAL,11,-0.0058964222410978475,11755,0.018077765753324482,False
HAL,12,0.007537981724690412,11755,0.018077765753324482,False
HAL,13,-0.0036561728547105563,11755,0.018077765753324482,False
