ticker,cluster
ENB,1
EQT,1
EXE,1
KMI,1
LNG,1
OKE,1
PBA,1
TRGP,1
TRP,1
WMB,1
BKR,2
BP,2
CNQ,2
COP,2
CVE,2
CVX,2
DVN,2
E,2
EOG,2
EQNR,2
FANG,2
FTI,2
HAL,2
IMO,2
OXY,2
PBR,2
SHEL,2
SLB,2
SU,2
TS,2
TTE,2
WDS,2
XOM,2
CCJ,3
TPL,4
MPC,5
PSX,5
VLO,5
