,XOM,CVX,SHEL,BP,TTE
XOM,1.0,0.8559107159478238,0.7499406981623078,0.7412747791167744,0.23480508647513232
CVX,0.8559107159478238,1.0,0.7685174370554445,0.7484190101092238,0.24825133516391354
SHEL,0.7499406981623078,0.7685174370554445,1.0,0.8288498944613641,0.31272078949650084
BP,0.7412747791167744,0.7484190101092238,0.8288498944613641,1.0,0.29494706364901296
TTE,0.23480508647513232,0.24825133516391354,0.31272078949650084,0.29494706364901296,1.0
